elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
12.96,0.0000,0.0000,0.0000,0.0000
17.65,-0.0039,-0.0001,-0.0039,-0.0001
18.75,-0.0195,-0.0006,-0.0195,-0.0006
19.84,-0.0347,-0.0014,-0.0347,-0.0014
20.89,-0.0493,-0.0034,-0.0493,-0.0034
21.94,-0.0685,-0.0091,-0.0685,-0.0091
23.03,-0.0731,-0.0110,-0.0731,-0.0110
24.23,-0.0914,-0.0199,-0.0914,-0.0199
25.49,-0.1093,-0.0311,-0.1093,-0.0311
26.04,0.4551,0.2618,0.4551,0.2618
27.14,0.4484,0.2465,0.4484,0.2465
28.15,0.4475,0.2402,0.4475,0.2402
29.25,0.4324,0.2252,0.4324,0.2252
30.29,0.4400,0.2581,0.4400,0.2581
31.31,0.4442,0.2384,0.4442,0.2384
32.40,0.4415,0.2259,0.4415,0.2259
33.44,0.4392,0.2297,0.4392,0.2297
34.44,0.4329,0.2369,0.4329,0.2369
35.54,0.4207,0.2453,0.4207,0.2453
36.54,0.4019,0.2525,0.4019,0.2525
37.64,0.3669,0.2551,0.3669,0.2551
38.64,-0.1372,0.2030,-0.1372,0.2030
39.44,-0.1870,0.1831,-0.1870,0.1831
