elapsed_s,x_m,y_m
5.57,0.0000,0.0000
65.74,0.2026,-0.0091
69.25,0.0181,-0.1805
71.54,-0.1118,-0.0237
77.34,-0.1862,-0.2176
77.85,-0.1286,0.0242
81.34,-0.1248,0.2405
83.65,-0.0563,0.0521
95.36,-0.1603,0.3109
98.96,-0.1165,0.1094
99.44,-0.3216,-0.0334
105.44,-0.2385,0.1994
105.59,-0.3056,0.0033
116.14,-0.4956,-0.4753
116.44,-0.3726,-0.1706
117.05,-0.2172,0.2516
119.94,-0.3910,0.0193
122.77,-0.2078,0.3177
126.51,-0.0869,0.4962
134.26,-0.0009,0.3073
135.74,0.0709,0.0630
136.30,0.0400,0.2732
137.14,-0.0976,0.4290
141.74,-0.2381,0.5884
143.18,-0.3900,0.7695
145.85,-0.2334,0.6110
172.24,-0.0743,0.4582
174.01,0.0442,0.2762
176.34,-0.0697,0.4566
178.95,0.0406,0.2752
