elapsed_s,x_m,y_m
5.97,0.0000,0.0000
22.72,-0.2055,0.0178
24.10,0.0059,0.0162
25.20,0.2166,0.0103
26.41,0.4284,0.0533
28.90,-0.0045,0.0728
30.50,0.1463,0.2115
35.60,-0.0655,0.0583
36.55,-0.2678,0.0099
37.04,-0.5382,0.1115
40.90,-0.5613,0.3217
42.32,-0.4441,0.1418
43.51,-0.2541,0.0397
44.80,-0.0388,-0.0517
46.31,-0.2456,-0.0050
46.71,-0.4527,0.1140
50.00,-0.3715,0.3089
53.60,-0.2888,0.1167
54.01,-0.2410,-0.1327
57.70,-0.2197,0.0932
60.10,-0.2420,-0.1059
62.12,-0.4158,-0.2273
65.70,-0.1772,-0.1800
66.40,-0.4261,-0.0026
68.02,-0.5128,0.2186
68.43,-0.4394,0.4397
69.02,-0.3885,0.2382
70.10,-0.4208,0.0295
71.12,-0.4874,-0.1732
74.10,-0.4111,0.1018
75.90,-0.2554,-0.0424
77.95,-0.4960,0.0399
79.60,-0.6605,0.1761
79.71,-0.7316,0.3748
80.21,-0.7244,0.5905
83.10,-0.5187,0.6423
