elapsed_s,x_m,y_m
12.21,0.0000,0.0000
31.54,-0.2263,-0.0323
33.23,0.2099,0.0180
36.53,0.5946,0.3265
43.43,0.4555,0.1382
43.73,0.6407,0.3935
44.16,0.7915,0.5977
45.93,0.9468,0.8047
64.57,0.9167,0.6064
65.13,0.8952,0.3858
65.83,0.9332,0.7601
86.74,0.6687,0.5156
88.45,0.0358,0.1737
89.64,0.2041,0.2937
92.26,0.4165,0.4061
93.58,0.1224,0.3995
94.63,-0.1597,0.4076
96.26,0.0461,0.3206
99.78,0.3126,0.3333
102.73,0.5898,0.4823
104.04,0.4836,0.6563
106.33,0.3865,0.8680
106.43,0.2728,1.0826
110.73,0.2402,0.8818
123.44,0.4425,0.8639
128.04,0.0878,0.9113
130.87,0.0614,0.6584
135.04,-0.1358,0.5985
135.83,-0.3716,0.6829
