elapsed_s,area_m2,percent_known,known_cells,total_cells
3.11,4.080,70.34,1632,2320
4.09,4.080,70.34,1632,2320
5.61,4.080,70.34,1632,2320
7.61,4.080,70.34,1632,2320
9.99,5.385,92.84,2154,2320
11.62,5.385,92.84,2154,2320
13.61,5.385,92.84,2154,2320
15.63,5.385,92.84,2154,2320
17.62,5.385,92.84,2154,2320
19.64,5.385,92.84,2154,2320
21.65,5.385,92.84,2154,2320
23.64,5.385,92.84,2154,2320
25.73,5.385,92.84,2154,2320
27.62,5.385,92.84,2154,2320
29.63,5.385,92.84,2154,2320
31.63,5.385,92.84,2154,2320
33.62,5.385,92.84,2154,2320
35.62,5.385,92.84,2154,2320
37.62,5.385,92.84,2154,2320
39.62,5.385,92.84,2154,2320
41.62,5.385,92.84,2154,2320
43.61,5.385,92.84,2154,2320
45.61,5.385,92.84,2154,2320
47.62,5.385,92.84,2154,2320
49.61,5.385,92.84,2154,2320
51.62,5.385,92.84,2154,2320
53.61,5.385,92.84,2154,2320
55.64,5.385,92.84,2154,2320
57.62,5.385,92.84,2154,2320
59.62,5.385,92.84,2154,2320
