elapsed_s,area_m2,percent_known,known_cells,total_cells
0.84,5.020,81.63,2008,2460
2.33,5.020,81.63,2008,2460
4.48,5.020,81.63,2008,2460
7.77,5.020,81.63,2008,2460
10.23,5.020,81.63,2008,2460
12.09,5.020,81.63,2008,2460
13.79,5.020,81.63,2008,2460
15.35,5.020,81.63,2008,2460
17.28,5.020,81.63,2008,2460
19.28,5.020,81.63,2008,2460
21.28,5.020,81.63,2008,2460
23.27,5.020,81.63,2008,2460
25.55,5.555,88.84,2222,2501
27.76,5.570,89.08,2228,2501
29.83,5.570,89.08,2223,2501
31.29,5.970,87.54,2388,2728
33.28,6.020,45.99,2408,5236
35.31,6.020,45.99,2408,5236
37.28,6.023,46.01,2409,5236
39.29,6.025,46.03,2410,5236
43.21,6.030,46.07,2412,5236
43.73,6.033,46.08,2413,5236
45.31,6.033,46.08,2413,5236
47.39,6.033,46.08,2413,5236
50.57,7.635,45.45,3054,6720
51.91,7.668,45.64,3067,6720
53.44,7.815,44.30,3126,7056
56.31,7.843,44.46,3137,7056
58.00,7.850,44.50,3140,7056
59.29,7.850,44.50,3140,7056
61.29,7.850,44.50,3140,7056
63.28,7.850,44.50,3140,7056
65.31,7.850,44.50,3140,7056
67.32,7.850,44.50,3140,7056
69.52,7.850,44.50,3140,7056
71.56,7.853,44.52,3141,7056
73.55,8.148,46.19,3259,7056
