elapsed_s,x_m,y_m
9.50,0.0000,0.0000
24.02,0.2128,-0.0303
26.12,0.1726,-0.2268
28.14,-0.0293,-0.2589
29.16,-0.3328,-0.1825
29.42,-0.4521,-0.0174
30.78,-0.4949,0.2523
31.54,-0.4616,0.5178
32.12,-0.4828,0.8157
33.24,-0.5735,0.6149
33.82,-0.5126,0.4239
34.52,-0.4499,0.2109
36.22,-0.4470,0.0039
38.02,-0.4452,-0.2004
39.34,-0.2531,-0.2670
42.25,-0.4883,-0.1691
46.63,-0.8085,0.4633
49.62,-0.9494,0.6258
50.62,-0.4929,0.6626
51.23,-0.5602,0.4331
53.02,-0.7464,0.2734
53.42,-0.8148,0.0512
54.12,-0.5130,0.1661
56.44,-0.4421,-0.0434
56.72,-0.3739,-0.2808
69.93,-0.5129,-0.1349
71.76,-0.2975,-0.4037
73.22,-0.4988,-0.3033
