elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
21.00,0.0000,0.0000,0.0000,0.0000
23.20,-0.0126,-0.0002,-0.0126,-0.0002
23.81,-0.0773,-0.0037,-0.0773,-0.0037
24.60,-0.1476,-0.0133,-0.1476,-0.0133
25.51,-0.2039,-0.0287,-0.2039,-0.0287
26.21,-0.0643,-0.0179,-0.0643,-0.0179
27.30,-0.0759,-0.0325,-0.0759,-0.0325
27.79,0.1554,-0.0015,0.1554,-0.0015
28.59,0.1116,-0.0361,0.1116,-0.0361
29.19,0.0737,-0.0731,0.0737,-0.0731
29.50,0.3007,0.0527,0.3007,0.0527
29.84,0.3775,0.0858,0.3775,0.0858
30.79,0.3407,0.0103,0.3407,0.0103
31.19,0.3869,0.0424,0.3869,0.0424
31.50,0.5438,0.1876,0.5438,0.1876
32.19,0.5262,0.1275,0.5262,0.1275
