elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
21.00,0.0000,0.0000,-0.0300,-0.0013,0.0000,0.0000,-0.0300,-0.0013
23.20,-0.0126,-0.0002,-0.0594,-0.0043,-0.0126,-0.0002,-0.0594,-0.0043
23.81,-0.0773,-0.0037,-0.0883,-0.0092,-0.0773,-0.0037,-0.0883,-0.0092
24.60,-0.1476,-0.0133,-0.1011,-0.0128,-0.1476,-0.0133,-0.1011,-0.0128
25.51,-0.2039,-0.0287,-0.1138,-0.0192,-0.2039,-0.0287,-0.1138,-0.0192
26.21,-0.0643,-0.0179,-0.0672,-0.0188,-0.0643,-0.0179,-0.0672,-0.0188
27.30,-0.0759,-0.0325,-0.0154,-0.0233,-0.0759,-0.0325,-0.0154,-0.0233
27.79,0.1554,-0.0015,0.0401,-0.0322,0.1554,-0.0015,0.0401,-0.0322
28.59,0.1116,-0.0361,0.1131,-0.0181,0.1116,-0.0361,0.1131,-0.0181
29.19,0.0737,-0.0731,0.2038,0.0056,0.0737,-0.0731,0.2038,0.0056
29.50,0.3007,0.0527,0.2408,0.0079,0.3007,0.0527,0.2408,0.0079
29.84,0.3775,0.0858,0.2959,0.0236,0.3775,0.0858,0.2959,0.0236
30.79,0.3407,0.0103,0.3899,0.0757,0.3407,0.0103,0.3899,0.0757
31.19,0.3869,0.0424,0.4350,0.0907,0.3869,0.0424,0.4350,0.0907
31.50,0.5438,0.1876,0.4494,0.0919,0.5438,0.1876,0.4494,0.0919
32.19,0.5262,0.1275,0.4856,0.1192,0.5262,0.1275,0.4856,0.1192
