elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
12.42,0.0000,0.0000,0.0000,0.0000
15.12,-0.0029,-0.0001,-0.0029,-0.0001
16.12,-0.0180,-0.0003,-0.0180,-0.0003
17.22,-0.0330,-0.0004,-0.0330,-0.0004
18.29,-0.0479,-0.0020,-0.0479,-0.0020
19.32,-0.0630,-0.0039,-0.0630,-0.0039
20.33,-0.0777,-0.0058,-0.0777,-0.0058
21.34,-0.0924,-0.0088,-0.0924,-0.0088
22.43,-0.1114,-0.0150,-0.1114,-0.0150
22.72,0.1520,0.0459,0.1520,0.0459
23.12,0.4932,0.1238,0.4932,0.1238
24.12,0.4831,0.1128,0.4831,0.1128
25.22,0.4749,0.1002,0.4749,0.1002
26.22,0.4689,0.0865,0.4689,0.0865
27.28,0.4652,0.0770,0.4652,0.0770
28.30,0.4603,0.0628,0.4603,0.0628
