elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
8.82,0.0000,0.0000,0.0000,0.0000
11.82,-0.0061,-0.0001,-0.0061,-0.0001
12.32,-0.0593,-0.0037,-0.0593,-0.0037
13.40,-0.0878,-0.0109,-0.0878,-0.0109
14.43,-0.1011,-0.0169,-0.1011,-0.0169
15.44,-0.0886,-0.0281,-0.0886,-0.0281
15.72,0.1272,0.0092,0.1272,0.0092
16.84,0.1103,-0.0052,0.1103,-0.0052
19.32,0.0850,-0.0438,0.0850,-0.0438
19.42,0.1547,0.0030,0.1547,0.0030
19.63,0.4438,0.2012,0.4438,0.2012
19.76,0.4929,0.2239,0.4929,0.2239
20.94,0.4896,0.1910,0.4896,0.1910
