elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
8.16,-0.8141,0.1567,-1.1087,0.2134
12.39,-0.6526,-0.7124,-0.8623,-0.9269
13.49,-0.2674,-1.8671,-0.3227,-2.1620
15.84,0.6076,-1.4269,0.7009,-1.7120
26.46,-0.6090,-0.7349,-0.8051,-0.9620
27.06,0.4934,-0.6530,0.6449,-0.9120
35.31,0.7503,-1.9273,0.8449,-2.2120
38.66,0.6266,-1.1363,0.7449,-1.4120
39.15,-0.6098,-0.7343,-0.8051,-0.9620
47.54,0.4978,-0.6505,0.6449,-0.9120
51.41,0.7316,-1.4842,0.8449,-1.7620
61.56,-0.6415,-0.7522,-0.8560,-0.9620
63.80,0.5063,-0.6455,0.6440,-0.9120
74.58,0.7383,-1.4813,0.8440,-1.7620
76.80,-0.6428,-0.7510,-0.8560,-0.9620
87.19,0.5105,-0.6433,0.6440,-0.9120
89.08,0.7319,-1.4837,0.8440,-1.7620
91.36,-0.2613,-1.6172,-0.3172,-1.9120
99.65,-0.5703,-1.2044,-0.7240,-1.4620
101.16,0.5548,-0.7350,0.6700,-1.0120
103.94,0.7872,-1.9236,0.8700,-2.2120
110.51,-1.0217,-1.1961,-1.2300,-1.4120
112.55,0.7791,-1.4106,0.8700,-1.6965
113.97,-0.2016,-1.5069,-0.2800,-1.7965
122.80,-0.5008,-1.1257,-0.6300,-1.3965
126.00,0.8126,-1.3702,0.9200,-1.6503
131.91,-0.8265,-1.6937,-0.9819,-1.9503
140.70,-0.4404,-1.1392,-0.5881,-1.4003
143.47,-0.4149,-2.0639,-0.5337,-2.3394
144.05,0.8919,-1.5164,1.0163,-1.7894
149.67,-0.9631,-1.2097,-1.2337,-1.3394
152.46,0.9887,-0.9258,1.2663,-1.0394
153.06,-0.6640,0.2062,-0.8837,0.4106
153.68,1.4328,-0.2372,1.7163,-0.1394
154.31,0.9092,0.7304,1.0163,1.0106
158.17,-0.4458,-1.1555,-0.6337,-1.3894
162.21,0.9038,-1.5373,1.0663,-1.7894
