metric,value
data_end_x_m,0.4383
data_end_y_m,0.9449
stable_end_x_m,0.4432
stable_end_y_m,0.2319
jump_flag,1
jump_distance_m,0.7130168371083533
jump_dt_s,3.41
note,jump_flag=1 means final saved end may not match physical stop; use stable_end_* for stop comparison
