elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
14.45,0.0000,0.0000,0.0000,0.0000
20.16,-0.0206,-0.0009,-0.0206,-0.0009
20.75,-0.0731,-0.0100,-0.0731,-0.0100
21.35,-0.1215,-0.0295,-0.1215,-0.0295
21.95,-0.1681,-0.0585,-0.1681,-0.0585
22.76,-0.1107,-0.0800,-0.1107,-0.0800
22.86,-0.0002,-0.0614,-0.0002,-0.0614
23.56,-0.0332,-0.1117,-0.0332,-0.1117
23.98,0.0523,-0.0819,0.0523,-0.0819
24.95,0.1453,-0.0816,0.1453,-0.0816
25.05,0.2300,-0.0172,0.2300,-0.0172
25.25,0.2959,0.0389,0.2959,0.0389
26.28,0.3282,0.0129,0.3282,0.0129
26.40,0.3730,0.1038,0.3730,0.1038
26.75,0.4432,0.2319,0.4432,0.2319
30.16,0.4383,0.9449,0.4383,0.9449
