elapsed_s,area_m2,percent_known,known_cells,total_cells
1.94,4.948,78.53,1979,2520
3.36,4.948,78.53,1979,2520
4.18,4.948,78.53,1979,2520
5.39,4.948,78.53,1979,2520
6.28,4.948,78.53,1979,2520
7.06,4.948,78.53,1979,2520
8.33,4.948,78.53,1979,2520
8.99,4.948,78.53,1979,2520
9.77,4.948,78.53,1979,2520
10.78,4.948,78.53,1979,2520
11.93,4.948,78.53,1979,2520
12.83,4.948,78.53,1979,2520
13.80,4.948,78.53,1979,2520
14.76,4.948,78.53,1979,2520
16.07,4.948,78.53,1979,2520
16.80,4.948,78.53,1979,2520
17.95,4.948,78.53,1979,2520
19.30,4.948,78.53,1979,2520
19.83,4.948,78.53,1979,2520
21.67,5.525,87.70,2210,2520
22.13,5.525,87.70,2210,2520
24.16,5.553,88.13,2221,2520
25.02,5.563,88.29,2225,2520
