elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
17.76,0.0000,0.0000,-0.0061,-0.0004,0.0000,0.0000,-0.0061,-0.0004
21.06,-0.0017,-0.0000,-0.0124,-0.0015,-0.0017,-0.0000,-0.0124,-0.0015
22.06,-0.0167,-0.0011,-0.0188,-0.0034,-0.0167,-0.0011,-0.0188,-0.0034
23.19,-0.0312,-0.0048,-0.0302,-0.0075,-0.0312,-0.0048,-0.0302,-0.0075
24.26,-0.0447,-0.0112,-0.0432,-0.0138,-0.0447,-0.0112,-0.0432,-0.0138
25.26,-0.0565,-0.0204,-0.0551,-0.0233,-0.0565,-0.0204,-0.0551,-0.0233
26.38,-0.0667,-0.0314,-0.0648,-0.0340,-0.0667,-0.0314,-0.0648,-0.0340
27.46,-0.0764,-0.0488,-0.0330,-0.0233,-0.0764,-0.0488,-0.0330,-0.0233
28.46,-0.0798,-0.0583,0.0800,0.0489,-0.0798,-0.0583,0.0800,0.0489
29.36,0.1144,0.0424,0.1949,0.1232,0.1144,0.0424,0.1949,0.1232
29.66,0.5083,0.3406,0.3118,0.2010,0.5083,0.3406,0.3118,0.2010
30.66,0.5082,0.3402,0.4272,0.2856,0.5082,0.3402,0.4272,0.2856
31.67,0.5081,0.3402,0.5019,0.3548,0.5081,0.3402,0.5019,0.3548
32.76,0.4973,0.3647,0.4967,0.3674,0.4973,0.3647,0.4967,0.3674
33.77,0.4879,0.3882,0.4912,0.3803,0.4879,0.3882,0.4912,0.3803
34.78,0.4818,0.4035,0.4839,0.3980,0.4818,0.4035,0.4839,0.3980
36.06,0.4811,0.4051,0.4783,0.4119,0.4811,0.4051,0.4783,0.4119
37.08,0.4715,0.4285,0.4742,0.4220,0.4715,0.4285,0.4742,0.4220
38.16,0.4693,0.4341,0.4693,0.4338,0.4693,0.4341,0.4693,0.4338
41.67,0.4671,0.4390,0.4636,0.4477,0.4671,0.4390,0.4636,0.4477
42.76,0.4576,0.4623,0.4616,0.4525,0.4576,0.4623,0.4616,0.4525
43.82,0.4526,0.4747,0.4591,0.4587,0.4526,0.4747,0.4591,0.4587
