elapsed_s,x_m,y_m
4.97,0.0000,0.0000
21.53,-0.2148,0.0100
23.13,-0.0025,0.0052
24.93,0.2028,-0.0111
27.34,-0.0777,0.1336
29.57,-0.2458,0.0176
30.55,0.0755,0.2830
31.53,0.0992,0.5036
33.55,0.2003,0.6899
35.63,0.1240,0.4661
36.37,-0.0022,0.2440
36.53,-0.0964,0.0663
37.93,-0.2860,0.1805
40.18,-0.3271,0.3792
41.23,0.1003,0.5834
42.13,-0.1874,0.4639
42.23,-0.3716,0.2915
45.53,-0.4395,0.1010
47.83,-0.3463,-0.1143
48.28,-0.2256,0.0939
48.53,-0.1745,0.3054
49.13,-0.3710,0.4732
51.93,-0.4558,0.2870
53.84,-0.4733,0.5120
55.25,-0.4448,0.1872
58.13,-0.2567,0.2606
58.64,0.0424,0.1759
58.83,0.3658,0.0611
59.73,0.2188,0.2384
60.73,-0.0270,0.3516
61.45,-0.0657,0.1101
65.53,0.0261,0.3008
66.73,0.1660,0.4635
69.13,0.0181,0.2703
71.04,-0.0288,0.0745
72.33,-0.1527,-0.1395
72.64,-0.1925,0.0852
