elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
22.18,0.0000,0.0000,0.0000,0.0000
27.49,-0.0068,-0.0003,-0.0068,-0.0003
28.49,-0.0166,-0.0007,-0.0166,-0.0007
29.57,-0.0365,-0.0023,-0.0365,-0.0023
30.58,-0.0512,-0.0047,-0.0512,-0.0047
31.69,-0.0658,-0.0082,-0.0658,-0.0082
32.77,-0.0849,-0.0147,-0.0849,-0.0147
33.79,-0.1058,-0.0251,-0.1058,-0.0251
34.79,0.0135,0.0067,0.0135,0.0067
35.08,0.4625,0.1465,0.4625,0.1465
36.18,0.4291,0.1093,0.4291,0.1093
37.27,0.3999,0.0699,0.3999,0.0699
38.08,0.7375,0.3422,0.7375,0.3422
38.77,0.7729,0.3795,0.7729,0.3795
39.94,0.7612,0.3309,0.7612,0.3309
40.37,0.7483,0.2528,0.7483,0.2528
41.16,0.7391,0.1544,0.7391,0.1544
41.28,0.7370,0.0992,0.7370,0.0992
41.37,0.7970,0.2108,0.7970,0.2108
41.79,0.8286,0.2623,0.8286,0.2623
42.17,0.8209,0.1889,0.8209,0.1889
42.67,0.7979,0.0743,0.7979,0.0743
43.07,0.7874,0.0040,0.7874,0.0040
43.78,0.7460,-0.1215,0.7460,-0.1215
44.48,0.7104,-0.2307,0.7104,-0.2307
45.07,0.6957,-0.2839,0.6957,-0.2839
45.19,0.6681,-0.2396,0.6681,-0.2396
45.40,0.6485,-0.3407,0.6485,-0.3407
45.79,0.6299,-0.4318,0.6299,-0.4318
46.37,0.6026,-0.5507,0.6026,-0.5507
47.09,0.5656,-0.6791,0.5656,-0.6791
47.57,0.5398,-0.7404,0.5398,-0.7404
48.10,0.5055,-0.9166,0.5055,-0.9166
48.38,0.4901,-1.0246,0.4901,-1.0246
49.14,0.4299,-0.9892,0.4299,-0.9892
49.38,0.4033,-1.1446,0.4033,-1.1446
51.87,0.2722,-1.3984,0.2722,-1.3984
51.97,0.2315,-1.4523,0.2315,-1.4523
52.21,0.1919,-1.6564,0.1919,-1.6564
52.37,0.1772,-1.5854,0.1772,-1.5854
52.89,0.1453,-1.7180,0.1453,-1.7180
53.23,0.1161,-1.7779,0.1161,-1.7779
54.36,0.0354,-1.9198,0.0354,-1.9198
