elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
22.18,0.0000,0.0000,-0.0078,-0.0003,0.0000,0.0000,-0.0078,-0.0003
27.49,-0.0068,-0.0003,-0.0150,-0.0008,-0.0068,-0.0003,-0.0150,-0.0008
28.49,-0.0166,-0.0007,-0.0222,-0.0016,-0.0166,-0.0007,-0.0222,-0.0016
29.57,-0.0365,-0.0023,-0.0354,-0.0032,-0.0365,-0.0023,-0.0354,-0.0032
30.58,-0.0512,-0.0047,-0.0510,-0.0061,-0.0512,-0.0047,-0.0510,-0.0061
31.69,-0.0658,-0.0082,-0.0688,-0.0110,-0.0658,-0.0082,-0.0688,-0.0110
32.77,-0.0849,-0.0147,-0.0589,-0.0092,-0.0849,-0.0147,-0.0589,-0.0092
33.79,-0.1058,-0.0251,0.0439,0.0210,-0.1058,-0.0251,0.0439,0.0210
34.79,0.0135,0.0067,0.1429,0.0445,0.0135,0.0067,0.1429,0.0445
35.08,0.4625,0.1465,0.2399,0.0615,0.4625,0.1465,0.2399,0.0615
36.18,0.4291,0.1093,0.4085,0.1349,0.4291,0.1093,0.4085,0.1349
37.27,0.3999,0.0699,0.5604,0.2095,0.3999,0.0699,0.5604,0.2095
38.08,0.7375,0.3422,0.6201,0.2464,0.7375,0.3422,0.6201,0.2464
38.77,0.7729,0.3795,0.6840,0.2751,0.7729,0.3795,0.6840,0.2751
39.94,0.7612,0.3309,0.7518,0.2920,0.7612,0.3309,0.7518,0.2920
40.37,0.7483,0.2528,0.7517,0.2434,0.7483,0.2528,0.7517,0.2434
41.16,0.7391,0.1544,0.7565,0.2096,0.7391,0.1544,0.7565,0.2096
41.28,0.7370,0.0992,0.7700,0.1959,0.7370,0.0992,0.7700,0.1959
41.37,0.7970,0.2108,0.7845,0.1831,0.7970,0.2108,0.7845,0.1831
41.79,0.8286,0.2623,0.7963,0.1671,0.8286,0.2623,0.7963,0.1671
42.17,0.8209,0.1889,0.8064,0.1481,0.8209,0.1889,0.8064,0.1481
42.67,0.7979,0.0743,0.7961,0.0816,0.7979,0.0743,0.7961,0.0816
43.07,0.7874,0.0040,0.7725,-0.0170,0.7874,0.0040,0.7725,-0.0170
43.78,0.7460,-0.1215,0.7475,-0.1115,0.7460,-0.1215,0.7475,-0.1115
44.48,0.7104,-0.2307,0.7215,-0.1743,0.7104,-0.2307,0.7215,-0.1743
45.07,0.6957,-0.2839,0.6937,-0.2433,0.6957,-0.2839,0.6937,-0.2433
45.19,0.6681,-0.2396,0.6705,-0.3053,0.6681,-0.2396,0.6705,-0.3053
45.40,0.6485,-0.3407,0.6490,-0.3693,0.6485,-0.3407,0.6490,-0.3693
45.79,0.6299,-0.4318,0.6229,-0.4484,0.6299,-0.4318,0.6229,-0.4484
46.37,0.6026,-0.5507,0.5973,-0.5485,0.6026,-0.5507,0.5973,-0.5485
47.09,0.5656,-0.6791,0.5687,-0.6637,0.5656,-0.6791,0.5687,-0.6637
47.57,0.5398,-0.7404,0.5407,-0.7823,0.5398,-0.7404,0.5407,-0.7823
48.10,0.5055,-0.9166,0.5062,-0.8700,0.5055,-0.9166,0.5062,-0.8700
48.38,0.4901,-1.0246,0.4737,-0.9631,0.4901,-1.0246,0.4737,-0.9631
49.14,0.4299,-0.9892,0.4202,-1.0947,0.4299,-0.9892,0.4202,-1.0947
49.38,0.4033,-1.1446,0.3654,-1.2018,0.4033,-1.1446,0.3654,-1.2018
51.87,0.2722,-1.3984,0.3058,-1.3282,0.2722,-1.3984,0.3058,-1.3282
51.97,0.2315,-1.4523,0.2552,-1.4474,0.2315,-1.4523,0.2552,-1.4474
52.21,0.1919,-1.6564,0.2036,-1.5621,0.1919,-1.6564,0.2036,-1.5621
52.37,0.1772,-1.5854,0.1724,-1.6380,0.1772,-1.5854,0.1724,-1.6380
52.89,0.1453,-1.7180,0.1332,-1.7315,0.1453,-1.7180,0.1332,-1.7315
53.23,0.1161,-1.7779,0.1185,-1.7503,0.1161,-1.7779,0.1185,-1.7503
54.36,0.0354,-1.9198,0.0989,-1.8052,0.0354,-1.9198,0.0989,-1.8052
