elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
11.26,0.1299,-0.3315,0.2393,-0.6109
11.96,-0.8038,0.4843,-1.0607,0.6391
12.52,-1.2911,-0.6294,-1.5607,-0.7609
20.66,-0.6449,-0.1876,-0.9333,-0.2701
24.73,0.1649,-0.3397,0.3167,-0.4701
25.23,-1.8030,-0.5247,-2.0875,-0.6201
27.57,-1.3415,0.2900,-1.5375,0.3299
37.21,0.3050,-0.4900,0.4125,-0.7701
74.72,0.1089,-1.1391,0.0625,-1.4355
74.92,-1.3890,-0.2675,-1.3890,-0.2675
75.43,0.4760,0.6792,0.7125,0.7645
76.77,-0.0840,1.4567,-0.2375,1.7145
76.88,1.0398,1.2635,1.2625,1.4645
77.49,-0.9310,1.5588,-1.1875,1.7145
82.80,-0.5414,-1.2235,-0.6875,-1.4855
83.59,-1.4876,0.3731,-1.7875,0.3645
