elapsed_s,x_rel_m,y_rel_m
25.39,0.0000,0.0000
31.18,-0.0072,-0.0002
32.25,-0.0220,-0.0007
33.28,-0.0416,-0.0033
34.38,-0.0608,-0.0089
35.47,-0.0743,-0.0155
36.51,-0.0784,-0.0183
38.29,-0.0968,-0.0352
38.68,0.5020,0.2214
39.72,0.4992,0.2139
40.89,0.4950,0.1946
41.98,0.4928,0.1875
43.07,0.4945,0.1821
43.97,0.5434,0.1651
44.77,0.6156,0.1799
45.30,0.6825,0.2082
46.33,0.7081,0.2225
46.58,0.8430,0.6788
46.78,0.9095,0.8959
47.14,0.7284,0.7862
47.79,0.6698,0.7677
48.20,0.6854,0.8231
48.57,0.5822,0.6105
49.37,0.5924,0.6705
50.38,0.5428,0.5494
51.27,0.4647,0.4214
51.99,0.4410,0.4676
52.27,0.4501,0.2053
53.12,0.4196,0.2526
53.28,0.4719,0.0263
53.97,0.4222,0.0755
54.37,0.4844,-0.0562
55.27,0.6138,-0.2368
56.35,0.5926,-0.2439
57.07,0.6714,-0.3563
58.08,0.6307,-0.3515
59.08,0.8522,-0.4628
62.87,1.1014,-0.5462
63.07,1.3105,-0.4665
63.27,1.3668,-0.4337
63.67,1.5116,-0.3489
64.71,1.5082,-0.3545
65.77,1.4948,-0.3850
66.79,1.4916,-0.3960
67.81,1.4868,-0.4190
68.89,1.4861,-0.4241
