elapsed_s,x_m,y_m
7.44,0.0000,0.0000
25.25,-0.2031,-0.0569
28.75,-0.0136,0.0474
29.84,0.1857,0.0151
32.84,-0.0416,0.0600
37.94,-0.1323,0.2409
40.94,0.0479,0.1229
42.44,0.0905,-0.0727
43.34,-0.0348,-0.3051
44.45,-0.2254,-0.4966
45.74,-0.4385,-0.6212
47.45,-0.6821,-0.6636
48.65,-0.9090,-0.5994
49.34,-1.0634,-0.4611
50.74,-1.2274,-0.3184
51.64,-1.2005,-0.0261
52.14,-1.1218,0.2100
57.96,-1.2561,0.0533
59.54,-1.2034,0.2503
60.14,-1.0520,0.4023
60.74,-0.8876,0.5421
63.15,-1.0454,0.6835
64.95,-0.7610,0.7052
65.74,-0.5719,0.5430
66.24,-0.4017,0.3794
71.25,-0.5433,0.5325
72.46,-0.6790,0.7002
74.36,-0.4870,0.5131
74.95,-0.3666,0.3308
76.94,-0.1642,0.2520
78.14,0.0347,0.1707
79.04,-0.1459,0.0333
79.64,-0.3315,0.1099
80.25,-0.5078,0.2112
86.84,-0.3751,0.0520
88.15,-0.5816,0.1625
88.65,-0.7480,0.3654
89.25,-0.8557,0.5551
90.95,-0.8386,0.3543
92.26,-0.8637,0.5926
101.34,-0.8280,0.3843
102.06,-0.7206,0.1956
102.85,-0.8160,0.3842
103.24,-0.8736,0.5840
114.95,-1.0778,0.5542
117.44,-0.8893,0.6658
118.34,-0.6759,0.6990
120.04,-0.7347,0.9064
122.24,-0.6471,0.6785
122.85,-0.6469,0.4646
129.04,-0.5826,0.6599
130.81,-0.5517,0.3748
131.74,-0.6883,0.1903
144.05,-0.4964,0.2474
144.24,-0.6196,0.0838
145.44,-0.8101,-0.0502
146.04,-1.0005,-0.1273
148.74,-0.8423,-0.2593
149.54,-1.0654,-0.3725
150.65,-1.2660,-0.2571
151.34,-1.4058,-0.1011
157.85,-1.3165,-0.3052
159.74,-1.4632,-0.1281
160.55,-1.4828,0.0816
162.75,-1.6973,0.0711
163.64,-1.6485,0.3994
164.94,-1.4091,0.3918
172.44,-1.3819,0.6021
173.75,-1.1657,0.4873
174.74,-1.1316,0.2845
177.35,-0.9263,0.2643
179.04,-1.0365,0.0505
188.45,-1.1751,-0.1273
189.04,-1.4141,-0.1863
199.84,-1.4311,-0.3989
201.04,-1.5365,-0.5851
202.15,-1.3870,-0.3349
203.35,-1.2143,-0.1351
205.85,-1.4225,-0.1965
207.44,-1.1825,-0.0401
213.94,-1.0105,0.0668
215.14,-0.9747,0.2798
215.85,-0.7729,0.1159
216.84,-0.7876,-0.1386
217.46,-0.8923,-0.4527
219.64,-0.7182,-0.3249
220.84,-0.5123,-0.2670
221.15,-0.7046,-0.4466
222.24,-0.8732,-0.6244
222.95,-1.0744,-0.6488
225.64,-1.4301,-0.6701
264.85,-1.5146,-0.4809
265.95,-1.4271,-0.2925
267.44,-1.4595,-0.5142
268.34,-1.5902,-0.7329
272.45,-1.3844,-0.3984
273.74,-1.5084,-0.5949
280.66,-1.6314,-0.8449
283.24,-1.5219,-0.6657
284.54,-1.3475,-0.5086
285.84,-1.5017,-0.6464
286.44,-1.6554,-0.7822
288.26,-1.4973,-0.5907
293.44,-1.3035,-0.7216
294.94,-1.4289,-0.5313
297.94,-1.6311,-0.5379
299.15,-1.8161,-0.6448
300.04,-1.6511,-0.4585
301.44,-1.3923,-0.3025
302.47,-1.1560,-0.3033
307.94,-1.2880,-0.1521
309.26,-1.0756,-0.2084
309.66,-0.9158,-0.3485
312.84,-0.7675,-0.2122
313.64,-0.7194,-0.4766
314.34,-0.7264,-0.6821
320.63,-0.6322,-0.5009
321.74,-0.4278,-0.4403
323.75,-0.6294,-0.5821
324.45,-0.9195,-0.5522
326.84,-0.9487,-0.7841
327.95,-1.1674,-0.7327
329.14,-1.2523,-0.5473
329.55,-1.0686,-0.2856
330.74,-0.9137,-0.1516
335.87,-1.0864,-0.2677
337.05,-1.2907,-0.3334
337.45,-1.1420,-0.1822
338.35,-0.9570,-0.1009
341.74,-1.1160,0.0467
342.04,-0.8917,0.0876
343.24,-0.6550,0.1074
344.25,-0.3481,-0.1122
344.94,-0.2100,-0.2783
349.85,-0.2731,-0.0867
352.14,-0.1471,-0.3093
352.74,-0.1275,-0.5223
355.04,0.0774,-0.5759
357.45,-0.0948,-0.7283
358.54,-0.3213,-0.6470
364.54,-0.3025,-0.8480
365.34,-0.5151,-0.7251
366.50,-0.6965,-0.5986
367.34,-0.9041,-0.5915
368.66,-0.7979,-0.2309
369.26,-0.6779,-0.0607
370.95,-0.4768,-0.0033
371.55,-0.2529,-0.0209
372.24,-0.0669,-0.1246
373.55,0.0619,-0.2790
374.55,0.0182,-0.0659
376.56,0.1015,-0.3342
379.24,0.1661,-0.5287
382.55,0.2751,-0.3609
383.36,0.1845,-0.5885
386.55,0.0768,-0.7576
388.74,0.1917,-0.5708
392.65,0.1390,-0.3715
393.85,0.0247,-0.1924
398.44,-0.0586,-0.0044
399.84,-0.1338,0.1983
400.15,-0.0375,0.0126
400.65,0.0505,-0.2024
402.22,-0.0424,-0.0224
405.87,0.0538,-0.2004
407.74,-0.0439,0.0112
409.65,0.1010,-0.1412
411.94,0.1407,-0.4208
415.64,0.1009,-0.6494
