elapsed_s,x_m,y_m
6.10,0.0000,0.0000
84.21,-0.0035,-0.2030
85.01,0.2403,-0.1633
89.62,0.3155,0.0432
90.24,0.1352,0.1908
92.02,-0.2410,0.2400
93.72,0.0542,0.2327
97.02,-0.5103,-0.0637
97.22,-0.2843,0.0208
97.75,0.0079,-0.0328
97.86,-0.0576,-0.2235
98.05,0.1702,0.2325
98.62,0.4839,0.6854
108.91,0.4621,0.4834
111.22,0.2092,0.5148
120.41,0.2946,0.7009
121.62,0.1265,0.5223
122.22,-0.0172,0.3526
125.52,0.1875,0.3069
126.82,0.4208,0.2829
127.92,0.2139,0.2286
128.82,-0.0087,0.2782
129.51,-0.2453,0.3470
139.91,-0.1809,0.1026
141.11,-0.2386,0.3748
142.64,-0.3969,0.5488
143.85,-0.5751,0.6605
144.93,-0.8010,0.7070
146.72,-1.0496,0.7232
149.12,-1.0907,0.5270
150.55,-1.0036,0.3233
