elapsed_s,x_m,y_m
13.30,0.0000,0.0000
48.17,-0.1025,0.1869
50.09,-0.3036,0.1822
50.97,-0.2359,-0.0236
51.87,-0.0280,-0.1222
56.07,-0.1673,0.0402
57.87,0.0108,-0.1304
59.97,-0.2154,-0.1577
60.77,-0.0007,-0.1435
61.27,0.2014,-0.2071
61.87,0.4430,-0.2759
63.27,0.0402,-0.1566
63.78,-0.1816,-0.0979
64.57,-0.4188,-0.0412
65.22,-0.1746,-0.1076
69.07,0.1096,-0.1615
70.97,-0.0627,-0.2854
71.07,-0.2637,-0.2454
72.17,-0.0633,-0.1995
72.47,0.1477,-0.1661
73.17,0.3426,-0.1024
98.57,0.1775,0.1161
99.47,0.0680,-0.0684
100.37,-0.0584,0.0917
101.47,-0.2255,0.2033
102.17,-0.4069,0.3538
102.27,-0.6217,0.5988
102.37,-0.7857,0.7642
122.17,-0.6047,0.6609
