elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
13.21,0.0000,0.0000,0.0000,0.0000
27.96,-0.0014,-0.0001,-0.0014,-0.0001
35.16,-0.0145,-0.0011,-0.0145,-0.0011
35.76,-0.0681,-0.0053,-0.0681,-0.0053
36.36,-0.1219,-0.0103,-0.1219,-0.0103
36.97,-0.1758,-0.0154,-0.1758,-0.0154
37.56,-0.2299,-0.0206,-0.2299,-0.0206
38.06,-0.0601,0.0015,-0.0601,0.0015
38.86,-0.1279,-0.0051,-0.1279,-0.0051
39.43,0.0970,0.0108,0.0970,0.0108
40.37,0.2179,0.0241,0.2179,0.0241
40.57,0.3037,0.0342,0.3037,0.0342
41.57,0.3212,0.0363,0.3212,0.0363
