metric,value
rows,23
duration_s,31.290000
total_distance_m,1.757102
start_x_m,0.000000
start_y_m,0.000000
end_x_m,-0.233700
end_y_m,-0.215900
max_segment_speed_mps,1.025042
mean_segment_speed_mps,0.186476
speed_spike_threshold_mps,0.800000
speed_spike_count,1
end_stable_x_m,-0.233700
end_stable_y_m,-0.215900
end_jump_flag,0
end_jump_distance_m,0.000000
end_jump_dt_s,0.000000
