elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
16.52,0.1843,-0.1161,0.4381,-0.2760
17.39,-0.6459,-0.3372,-0.9119,-0.4760
17.53,0.4539,-0.9077,0.5881,-1.1760
20.49,-0.5196,-1.2906,-0.6119,-1.5760
29.02,-0.2878,-0.7554,-0.3712,-1.0435
29.53,0.3049,0.1339,0.5788,0.2565
30.06,0.1076,-1.6443,0.1288,-1.9435
38.12,-0.6596,-1.7317,-0.7433,-2.0198
38.57,0.7495,-1.8643,0.9067,-2.1198
40.99,0.0184,-1.1235,0.0567,-1.3198
44.62,0.2577,0.2506,0.4567,0.4752
61.49,-0.7196,-1.7258,-0.7196,-1.7258
63.08,0.7473,-1.9100,0.9567,-2.1248
75.92,-0.7132,-1.7263,-0.7433,-2.0248
79.49,-1.2554,-0.9855,-1.4881,-1.1748
80.14,-2.0534,0.0806,-2.3381,0.1752
