elapsed_s,x_rel_m,y_rel_m
17.10,0.0000,0.0000
22.70,-0.0058,-0.0001
23.40,-0.0686,-0.0017
24.15,-0.1251,-0.0027
24.51,-0.1823,-0.0037
25.20,-0.2395,-0.0046
25.50,-0.1851,0.0015
25.92,-0.1352,0.0076
26.70,0.0292,0.0047
27.49,-0.0283,0.0019
27.90,0.0548,0.0018
28.50,-0.0022,0.0002
28.70,0.0887,0.0008
29.80,0.0648,0.0012
29.90,0.1558,0.0101
30.94,0.1211,0.0077
32.00,0.1096,0.0063
33.00,0.1082,0.0062
34.10,0.0802,0.0259
35.11,0.0769,0.0302
36.33,0.0444,0.0767
36.80,0.0124,0.1221
37.30,0.2932,0.0753
38.30,0.2662,0.1299
39.12,0.2420,0.1769
40.20,0.2278,0.2151
40.70,0.3559,0.0379
41.40,0.3473,0.1001
41.91,0.3383,0.1595
43.80,0.3753,-0.0950
46.60,0.3832,-0.2785
48.20,0.4410,-0.5599
48.30,0.4870,-0.6654
48.70,0.5590,-0.7708
49.10,0.5911,-0.8195
49.30,0.6288,-0.8799
49.70,0.6654,-0.9365
50.30,0.7014,-0.9904
50.93,0.7301,-1.0356
51.60,0.6632,-0.9440
52.50,0.6269,-0.8712
53.50,0.6124,-0.8420
54.50,0.6123,-0.8419
56.70,0.6206,-0.8556
57.30,0.6478,-0.9014
57.90,0.6754,-0.9479
58.50,0.7031,-0.9943
59.50,0.7222,-1.0266
60.30,0.6543,-0.9115
60.50,0.6220,-0.8567
64.30,0.6244,-0.8608
65.33,0.6320,-0.8737
66.10,0.6657,-0.9298
66.70,0.6941,-0.9772
67.70,0.7011,-0.9904
68.10,0.6506,-0.9136
69.11,0.6409,-0.8987
71.80,0.6408,-0.8988
