elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
8.66,0.0000,0.0000,0.0000,0.0000
25.76,0.0178,0.0066,0.0178,0.0066
26.36,0.0366,0.0597,0.0366,0.0597
27.06,0.0229,0.1180,0.0229,0.1180
27.75,-0.0041,0.1710,-0.0041,0.1710
28.36,-0.0879,-0.1866,-0.0879,-0.1866
28.75,-0.0842,-0.2567,-0.0842,-0.2567
29.09,-0.0795,-0.3462,-0.0795,-0.3462
29.85,-0.0765,-0.4065,-0.0765,-0.4065
30.86,-0.0811,-0.3901,-0.0811,-0.3901
31.97,-0.0891,-0.3677,-0.0891,-0.3677
33.07,-0.1012,-0.3485,-0.1012,-0.3485
34.24,-0.1046,-0.3447,-0.1046,-0.3447
35.06,-0.1031,-0.6367,-0.1031,-0.6367
36.06,-0.1158,-0.6234,-0.1158,-0.6234
37.15,-0.1291,-0.6142,-0.1291,-0.6142
38.26,-0.1239,-0.6171,-0.1239,-0.6171
39.26,-0.1255,-0.6217,-0.1255,-0.6217
40.32,-0.1440,-0.6646,-0.1440,-0.6646
40.85,-0.1596,-0.7299,-0.1596,-0.7299
41.62,-0.1656,-0.7936,-0.1656,-0.7936
42.77,-0.1650,-0.8211,-0.1650,-0.8211
43.17,0.2314,-0.9045,0.2314,-0.9045
44.25,0.2405,-0.9258,0.2405,-0.9258
44.45,0.2261,-0.6571,0.2261,-0.6571
45.46,0.2377,-0.6675,0.2377,-0.6675
46.07,0.2894,-0.7034,0.2894,-0.7034
46.87,0.3458,-0.7339,0.3458,-0.7339
47.55,0.3829,-0.6736,0.3829,-0.6736
47.76,0.4013,-0.6260,0.4013,-0.6260
48.75,0.2529,-0.5364,0.2529,-0.5364
49.76,0.0381,-0.5001,0.0381,-0.5001
50.38,0.0969,-0.4933,0.0969,-0.4933
51.45,0.1878,-0.5328,0.1878,-0.5328
52.71,0.1748,-0.5196,0.1748,-0.5196
52.97,0.0922,-0.5132,0.0922,-0.5132
53.36,-0.0410,-0.5073,-0.0410,-0.5073
54.37,-0.0798,-0.5046,-0.0798,-0.5046
