elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
10.81,0.1463,0.2590,0.2939,0.5202
11.52,0.1937,-0.5470,0.2939,-0.8298
11.99,-0.7044,0.4569,-0.9561,0.6202
12.69,-0.8309,-0.3604,-1.1061,-0.4798
13.21,-1.5908,-0.8398,-1.8561,-0.9798
19.30,-1.6925,0.6156,-1.9773,0.7100
24.59,0.5428,-0.7509,0.6227,-1.0400
25.64,-1.0275,-0.1272,-1.3273,-0.1400
37.14,-1.4800,0.3435,-1.7773,0.3838
39.05,0.8297,-0.4557,0.9727,-0.7194
39.82,-0.7551,-0.9178,-0.9773,-1.1194
45.49,-0.9803,-0.0269,-1.2773,-0.0694
47.32,0.2769,-0.9229,0.3227,-1.2194
48.87,-1.2299,-1.2435,-1.4273,-1.4694
54.52,-1.4291,0.3639,-1.7273,0.3306
57.62,-0.9188,-0.8397,-1.0273,-1.1194
62.30,0.1213,-0.9701,0.1419,-1.2694
62.87,0.8536,-0.5859,1.0419,-0.8194
73.14,-0.4734,-1.1696,-0.4626,-1.4694
74.70,-0.7260,1.4135,-0.8626,1.6806
75.52,0.4884,0.9557,0.7874,0.9806
77.28,0.0142,2.4071,0.1374,2.6806
78.41,1.2376,0.5911,1.5374,0.5806
79.94,1.0117,2.1830,1.2374,2.3806
