elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
8.10,0.1665,-0.1702,0.3763,-0.3846
8.71,-0.6580,-0.3452,-0.9237,-0.4846
9.06,-1.4798,0.3049,-1.7737,0.3654
13.87,-1.7199,-0.5872,-2.0037,-0.6846
16.69,0.3049,-0.6200,0.4463,-0.8846
21.90,-1.2676,-0.3943,-1.5537,-0.4846
30.75,-1.3060,0.1281,-1.6037,0.1654
34.01,0.0773,-0.5878,0.0463,-0.8862
38.91,-1.2618,-0.3668,-1.5537,-0.4362
46.97,-1.3054,0.1320,-1.6037,0.1638
50.88,0.0845,-0.5887,0.0463,-0.8862
58.99,-1.2622,-0.3651,-1.5537,-0.4362
72.46,-1.3056,0.1297,-1.6037,0.1638
81.89,-1.2623,-0.3646,-1.5537,-0.4362
