elapsed_s,x_m,y_m
6.87,0.0000,0.0000
38.08,0.1694,0.1261
39.68,0.2694,-0.0693
41.59,0.0301,-0.1254
41.99,-0.2167,-0.1370
44.21,-0.4320,-0.0774
45.88,-0.0667,-0.0913
46.59,0.1341,-0.1271
47.70,-0.1318,-0.1055
60.50,-0.3767,-0.0853
62.18,-0.5757,-0.1581
63.38,-0.7853,-0.1927
64.69,-0.5243,-0.0239
66.49,-0.3287,0.0464
66.69,-0.0668,-0.0537
67.70,0.1253,0.0210
70.89,-0.0146,-0.1438
71.19,-0.2363,-0.2691
73.59,-0.0957,-0.1251
74.79,0.0043,0.0640
76.58,0.2146,0.0174
77.29,0.2158,-0.2609
77.49,0.2204,-0.4816
79.09,0.1946,-0.6848
80.39,0.0326,-0.8473
81.39,-0.1741,-0.8211
81.70,-0.3343,-0.5929
81.99,-0.4936,-0.3532
82.49,-0.6316,-0.2051
83.58,-0.3988,-0.2586
83.88,-0.1268,-0.2935
85.78,-0.4373,-0.1465
87.51,-0.6075,-0.2524
88.91,-0.8413,-0.2697
90.19,-1.0337,-0.1772
91.29,-1.1748,-0.0096
92.71,-0.7464,-0.1484
98.80,-0.9032,-0.2816
118.64,-0.9672,-0.4834
