elapsed_s,x_m,y_m
4.63,0.0000,0.0000
28.37,-0.2022,0.0182
30.86,0.0020,0.0059
32.57,0.2125,-0.0231
33.77,0.4265,-0.0111
34.84,0.4113,0.1931
35.36,0.1981,0.0530
40.59,0.0085,-0.0361
41.86,-0.2251,0.0341
42.46,-0.4026,0.1483
43.66,-0.2112,0.0850
47.49,-0.2641,0.2886
50.07,-0.1785,0.1065
51.36,-0.1664,-0.1094
52.59,-0.0722,-0.3018
52.76,0.1368,-0.4275
52.98,0.4014,-0.5809
55.57,0.2161,-0.4998
58.27,0.2804,-0.2926
59.08,0.3300,-0.0870
59.56,0.5952,0.3030
64.16,0.8053,0.2915
66.37,0.5719,0.0931
72.36,0.4168,-0.0343
73.64,0.3534,-0.2401
75.67,0.4238,-0.0124
76.60,0.5201,0.1767
