elapsed_s,x_rel_m,y_rel_m
13.19,0.0000,0.0000
20.29,-0.0018,-0.0001
21.39,-0.0213,-0.0038
22.49,-0.0352,-0.0093
23.59,-0.0481,-0.0170
24.60,-0.0598,-0.0264
25.69,-0.0697,-0.0376
26.70,-0.0777,-0.0502
27.83,-0.0845,-0.0691
28.40,0.1540,0.1881
28.79,0.4779,0.5308
29.49,0.5083,0.5708
30.09,0.5091,0.5070
31.19,0.5068,0.4833
32.21,0.5153,0.4550
33.19,0.5927,0.4453
34.20,0.6189,0.4256
34.42,0.8392,0.6233
34.70,0.8836,0.6497
35.79,0.8025,0.7265
36.89,0.8128,0.7670
37.39,0.3238,0.7386
37.59,0.3583,0.8030
38.64,0.3725,0.8332
39.89,0.1961,0.6046
40.16,0.0881,0.4206
40.39,0.1052,0.4996
40.79,0.1497,0.3572
41.39,0.1793,0.4143
42.09,0.0512,0.2445
43.15,0.0403,0.2389
44.10,-0.0389,0.1129
50.69,-0.2436,-0.7270
51.74,-0.2515,-0.7170
