elapsed_s,area_m2,percent_known,known_cells,total_cells
10.93,4.318,76.35,1727,2262
12.62,4.318,76.35,1727,2262
13.39,4.318,76.35,1727,2262
14.19,4.318,76.35,1727,2262
15.27,4.318,76.35,1727,2262
15.76,4.318,76.35,1727,2262
16.76,4.318,76.35,1727,2262
17.75,4.318,76.35,1727,2262
18.73,4.318,76.35,1727,2262
19.76,4.318,76.35,1727,2262
20.79,4.318,76.35,1727,2262
21.72,4.318,76.35,1727,2262
22.73,4.318,76.35,1727,2262
23.73,4.318,76.35,1727,2262
24.72,4.318,76.35,1727,2262
26.12,4.768,82.20,1907,2320
26.84,4.768,82.20,1907,2320
27.75,4.768,82.20,1907,2320
28.84,5.140,86.46,2056,2378
29.72,5.140,86.46,2056,2378
30.72,5.205,87.55,2082,2378
31.74,5.205,87.55,2082,2378
33.13,5.345,88.38,2138,2419
33.72,5.345,88.38,2138,2419
35.15,5.345,76.69,2132,2788
