elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
17.10,0.0000,0.0000,0.0000,0.0000
22.19,-0.0011,0.0000,-0.0011,0.0000
23.27,-0.0050,0.0001,-0.0050,0.0001
24.27,-0.0425,0.0550,-0.0425,0.0550
24.89,-0.0748,0.1080,-0.0748,0.1080
25.37,-0.1076,0.1628,-0.1076,0.1628
25.98,-0.1401,0.2118,-0.1401,0.2118
26.48,-0.0425,0.0680,-0.0425,0.0680
27.60,-0.0841,0.1185,-0.0841,0.1185
27.79,-0.0302,0.0089,-0.0302,0.0089
27.88,0.0003,-0.0540,0.0003,-0.0540
28.57,0.0911,-0.2094,0.0911,-0.2094
29.29,0.0366,-0.1717,0.0366,-0.1717
29.88,0.1804,-0.3374,0.1804,-0.3374
30.37,0.1252,-0.3013,0.1252,-0.3013
30.98,0.2220,-0.3744,0.2220,-0.3744
31.58,0.1640,-0.3429,0.1640,-0.3429
31.97,0.2154,-0.3818,0.2154,-0.3818
33.03,0.1859,-0.3684,0.1859,-0.3684
33.28,0.3774,-0.4754,0.3774,-0.4754
34.29,0.4235,-0.5018,0.4235,-0.5018
35.39,0.4665,-0.5258,0.4665,-0.5258
36.48,0.4665,-0.5257,0.4665,-0.5257
40.18,0.4657,-0.5328,0.4657,-0.5328
41.19,0.4618,-0.5603,0.4618,-0.5603
41.77,0.4685,-0.4994,0.4685,-0.4994
42.47,0.4733,-0.4366,0.4733,-0.4366
43.48,0.4740,-0.4138,0.4740,-0.4138
44.08,0.4639,-0.3512,0.4639,-0.3512
44.95,0.4134,-0.3427,0.4134,-0.3427
45.77,0.3937,-0.2846,0.3937,-0.2846
46.28,0.4164,-0.3673,0.4164,-0.3673
47.87,0.4353,-0.3944,0.4353,-0.3944
48.47,0.4245,-0.3266,0.4245,-0.3266
48.58,0.4203,-0.4106,0.4203,-0.4106
49.58,0.3918,-0.3612,0.3918,-0.3612
50.58,0.3801,-0.3860,0.3801,-0.3860
50.88,0.4036,-0.4536,0.4036,-0.4536
51.47,0.3858,-0.3933,0.3858,-0.3933
52.47,0.4319,-0.4202,0.4319,-0.4202
52.68,0.4902,-0.4924,0.4902,-0.4924
53.69,0.4905,-0.4921,0.4905,-0.4921
65.38,0.4915,-0.4936,0.4915,-0.4936
66.49,0.4844,-0.4845,0.4844,-0.4845
67.08,0.4530,-0.4410,0.4530,-0.4410
68.18,0.4749,-0.4675,0.4749,-0.4675
68.27,0.4666,-0.5336,0.4666,-0.5336
69.27,0.4199,-0.5069,0.4199,-0.5069
70.38,0.3948,-0.4823,0.3948,-0.4823
71.38,0.3925,-0.4634,0.3925,-0.4634
71.69,0.4677,-0.4762,0.4677,-0.4762
72.27,0.4638,-0.4234,0.4638,-0.4234
73.28,0.4521,-0.3828,0.4521,-0.3828
74.08,0.3992,-0.4100,0.3992,-0.4100
75.20,0.3770,-0.3904,0.3770,-0.3904
75.48,0.4464,-0.4714,0.4464,-0.4714
76.48,0.4464,-0.4716,0.4464,-0.4716
95.97,0.4854,-0.5208,0.4854,-0.5208
