elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
17.10,0.0000,0.0000,-0.0020,0.0000,0.0000,0.0000,-0.0020,0.0000
22.19,-0.0011,0.0000,-0.0121,0.0138,-0.0011,0.0000,-0.0121,0.0138
23.27,-0.0050,0.0001,-0.0247,0.0326,-0.0050,0.0001,-0.0247,0.0326
24.27,-0.0425,0.0550,-0.0462,0.0652,-0.0425,0.0550,-0.0462,0.0652
24.89,-0.0748,0.1080,-0.0740,0.1075,-0.0748,0.1080,-0.0740,0.1075
25.37,-0.1076,0.1628,-0.0815,0.1211,-0.1076,0.1628,-0.0815,0.1211
25.98,-0.1401,0.2118,-0.0898,0.1338,-0.1401,0.2118,-0.0898,0.1338
26.48,-0.0425,0.0680,-0.0809,0.1140,-0.0425,0.0680,-0.0809,0.1140
27.60,-0.0841,0.1185,-0.0593,0.0706,-0.0841,0.1185,-0.0593,0.0706
27.79,-0.0302,0.0089,-0.0131,-0.0136,-0.0302,0.0089,-0.0131,-0.0136
27.88,0.0003,-0.0540,0.0028,-0.0615,0.0003,-0.0540,0.0028,-0.0615
28.57,0.0911,-0.2094,0.0557,-0.1527,0.0911,-0.2094,0.0557,-0.1527
29.29,0.0366,-0.1717,0.0867,-0.2148,0.0366,-0.1717,0.0867,-0.2148
29.88,0.1804,-0.3374,0.1311,-0.2788,0.1804,-0.3374,0.1311,-0.2788
30.37,0.1252,-0.3013,0.1456,-0.3056,0.1252,-0.3013,0.1456,-0.3056
30.98,0.2220,-0.3744,0.1814,-0.3476,0.2220,-0.3744,0.1814,-0.3476
31.58,0.1640,-0.3429,0.1825,-0.3538,0.1640,-0.3429,0.1825,-0.3538
31.97,0.2154,-0.3818,0.2329,-0.3886,0.2154,-0.3818,0.2329,-0.3886
33.03,0.1859,-0.3684,0.2732,-0.4141,0.1859,-0.3684,0.2732,-0.4141
33.28,0.3774,-0.4754,0.3337,-0.4507,0.3774,-0.4754,0.3337,-0.4507
34.29,0.4235,-0.5018,0.3840,-0.4794,0.4235,-0.5018,0.3840,-0.4794
35.39,0.4665,-0.5258,0.4399,-0.5123,0.4665,-0.5258,0.4399,-0.5123
36.48,0.4665,-0.5257,0.4568,-0.5293,0.4665,-0.5257,0.4568,-0.5293
40.18,0.4657,-0.5328,0.4658,-0.5288,0.4657,-0.5328,0.4658,-0.5288
41.19,0.4618,-0.5603,0.4672,-0.5110,0.4618,-0.5603,0.4672,-0.5110
41.77,0.4685,-0.4994,0.4686,-0.4886,0.4685,-0.4994,0.4686,-0.4886
42.47,0.4733,-0.4366,0.4683,-0.4523,0.4733,-0.4366,0.4683,-0.4523
43.48,0.4740,-0.4138,0.4586,-0.4088,0.4740,-0.4138,0.4586,-0.4088
44.08,0.4639,-0.3512,0.4436,-0.3658,0.4639,-0.3512,0.4436,-0.3658
