metric,value
rows,18
duration_s,16.900000
total_distance_m,1.656785
start_x_m,0.000000
start_y_m,0.000000
end_x_m,0.911600
end_y_m,0.281800
max_segment_speed_mps,1.622367
mean_segment_speed_mps,0.208909
speed_spike_threshold_mps,0.800000
speed_spike_count,1
end_stable_x_m,0.911600
end_stable_y_m,0.281800
end_jump_flag,0
end_jump_distance_m,0.000000
end_jump_dt_s,0.000000
