elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
15.97,0.0000,0.0000,0.0000,0.0000
20.57,-0.0049,-0.0001,-0.0049,-0.0001
21.67,-0.0198,-0.0010,-0.0198,-0.0010
22.76,-0.0347,-0.0032,-0.0347,-0.0032
23.77,-0.0493,-0.0066,-0.0493,-0.0066
24.81,-0.0710,-0.0138,-0.0710,-0.0138
25.92,-0.0894,-0.0212,-0.0894,-0.0212
26.90,-0.1357,-0.0478,-0.1357,-0.0478
27.27,0.4466,0.0980,0.4466,0.0980
28.01,0.3898,0.0615,0.3898,0.0615
28.57,0.3310,0.0218,0.3310,0.0218
29.10,0.3817,0.0430,0.3817,0.0430
29.38,0.5622,0.1318,0.5622,0.1318
30.17,0.6684,0.1860,0.6684,0.1860
31.17,0.7970,0.2273,0.7970,0.2273
31.87,0.8879,0.3045,0.8879,0.3045
32.27,0.9412,0.3487,0.9412,0.3487
32.87,0.9116,0.2818,0.9116,0.2818
