elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
18.14,0.0000,0.0000,0.0000,0.0000
22.04,-0.0036,-0.0000,-0.0036,-0.0000
23.04,-0.0186,-0.0002,-0.0186,-0.0002
24.04,-0.0343,-0.0005,-0.0343,-0.0005
25.23,-0.0485,-0.0028,-0.0485,-0.0028
26.24,-0.0625,-0.0080,-0.0625,-0.0080
27.37,-0.0788,-0.0195,-0.0788,-0.0195
28.44,-0.0888,-0.0306,-0.0888,-0.0306
29.54,-0.0920,-0.0351,-0.0920,-0.0351
29.75,0.1424,0.1557,0.1424,0.1557
30.04,0.5212,0.4633,0.5212,0.4633
31.04,0.5625,0.4184,0.5625,0.4184
32.04,0.6097,0.3737,0.6097,0.3737
32.84,0.6554,0.3335,0.6554,0.3335
33.64,0.6129,0.5258,0.6129,0.5258
34.04,0.6021,0.6206,0.6021,0.6206
34.64,0.6554,0.6002,0.6554,0.6002
35.35,0.7033,0.5822,0.7033,0.5822
35.94,0.6267,0.6213,0.6267,0.6213
36.94,0.6430,0.6244,0.6430,0.6244
37.96,0.6559,0.6230,0.6559,0.6230
38.84,0.6122,0.6508,0.6122,0.6508
39.85,0.6039,0.6607,0.6039,0.6607
40.85,0.6188,0.6656,0.6188,0.6656
41.65,0.5511,0.6925,0.5511,0.6925
42.04,0.2145,0.7042,0.2145,0.7042
42.86,0.2698,0.7500,0.2698,0.7500
