elapsed_s,frontier_x_m,frontier_y_m
1.36,-0.6191,-0.8351
1.36,-0.4191,-1.2851
1.36,0.2809,-0.9351
1.36,1.0809,-0.8351
1.36,-0.9691,-1.1351
1.36,-1.0691,-0.6851
1.36,-0.8691,-0.1851
1.36,0.8309,-0.1851
1.36,-1.2691,-0.0851
1.36,-1.2691,0.1649
1.36,-1.1691,0.3649
4.04,-0.6191,-0.8351
4.04,-0.4191,-1.2851
4.04,0.2809,-0.9351
4.04,1.0809,-0.8351
4.04,-0.9691,-1.1351
4.04,-1.0691,-0.6851
4.04,-0.8691,-0.1851
4.04,0.8309,-0.1851
4.04,-1.2691,-0.0851
4.04,-1.2691,0.1649
4.04,-1.1691,0.3649
6.22,-0.6191,-0.8351
6.22,-0.4191,-1.2851
6.22,0.2809,-0.9351
6.22,1.0809,-0.8351
6.22,-0.9691,-1.1351
6.22,-1.0691,-0.6851
6.22,-0.8691,-0.1851
6.22,0.8309,-0.1851
6.22,-1.2691,-0.0851
6.22,-1.2691,0.1649
6.22,-1.1691,0.3649
9.08,-0.6191,-0.8351
9.08,-0.4191,-1.2851
9.08,0.2809,-0.9351
9.08,1.0809,-0.8351
9.08,-0.9691,-1.1351
9.08,-1.0691,-0.6851
9.08,-0.8691,-0.1851
9.08,0.8309,-0.1851
9.08,-1.2691,-0.0851
9.08,-1.2691,0.1649
9.08,-1.1691,0.3649
11.63,-0.6191,-0.8351
11.63,-0.4191,-1.2851
11.63,0.2809,-0.9351
11.63,1.0809,-0.8351
11.63,-0.9691,-1.1351
11.63,-1.0691,-0.6851
11.63,-0.8691,-0.1851
11.63,0.8309,-0.1851
11.63,-1.2691,-0.0851
11.63,-1.2691,0.1649
11.63,-1.1691,0.3649
12.70,-0.6191,-0.8351
12.70,-0.4191,-1.2851
12.70,0.2809,-0.9351
12.70,1.0809,-0.8351
12.70,-0.9691,-1.1351
12.70,-1.0691,-0.6851
12.70,-0.8691,-0.1851
12.70,0.8309,-0.1851
12.70,-1.2691,-0.0851
12.70,-1.2691,0.1649
12.70,-1.1691,0.3649
14.18,-0.6191,-0.8351
14.18,-0.4191,-1.2851
14.18,0.2809,-0.9351
14.18,1.0809,-0.8351
14.18,-0.9691,-1.1351
14.18,-1.0691,-0.6851
14.18,-0.8691,-0.1851
14.18,0.8309,-0.1851
14.18,-1.2691,-0.0851
14.18,-1.2691,0.1649
14.18,-1.1691,0.3649
