elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
14.94,-0.6070,-0.0630,-0.9054,-0.0939
15.47,-1.4118,0.2947,-1.7054,0.3561
17.62,-1.4184,-0.5230,-1.6054,-0.5939
22.62,-2.3487,0.7532,-2.6350,0.8428
24.54,-2.2638,-0.5317,-2.5530,-0.6114
34.78,-1.7808,-0.5096,-2.0659,-0.6032
47.30,-2.2793,-0.4113,-2.4748,-0.4532
55.39,-2.0542,-0.8822,-2.3288,-1.0032
64.39,0.1234,-0.4561,0.1652,-0.7532
67.61,-2.2911,-0.4168,-2.4878,-0.4532
76.25,0.1407,0.7480,0.1622,0.9468
79.74,0.1333,-0.5050,0.1607,-0.7032
88.29,-2.2711,-0.4197,-2.4682,-0.4540
92.22,0.1474,0.7469,0.1658,0.9460
104.84,-2.1587,-0.4183,-2.4538,-0.4718
114.90,-1.8008,-0.9499,-1.9796,-1.0394
127.09,0.1177,0.5855,0.1460,0.8842
127.61,-2.2577,-0.4688,-2.5540,-0.5158
139.91,0.1470,0.7474,0.1621,0.9469
142.09,-1.9034,-0.9759,-2.0879,-1.0531
152.29,-2.2972,-0.3921,-2.5970,-0.4031
154.30,0.1384,0.6974,0.1530,0.8969
156.50,-0.6361,-1.0938,-0.7594,-1.2513
