elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
18.80,0.0000,0.0000,0.0000,0.0000
22.42,-0.0034,-0.0001,-0.0034,-0.0001
23.51,-0.0184,-0.0011,-0.0184,-0.0011
24.51,-0.0335,-0.0027,-0.0335,-0.0027
25.61,-0.0479,-0.0064,-0.0479,-0.0064
26.72,-0.0654,-0.0162,-0.0654,-0.0162
27.81,-0.0769,-0.0264,-0.0769,-0.0264
28.91,-0.0860,-0.0378,-0.0860,-0.0378
29.70,0.3722,0.1898,0.3722,0.1898
30.01,0.4283,0.2151,0.4283,0.2151
30.40,0.5069,0.2484,0.5069,0.2484
31.41,0.5038,0.2330,0.5038,0.2330
32.50,0.5037,0.2323,0.5037,0.2323
33.52,0.5060,0.2485,0.5060,0.2485
34.60,0.5048,0.2390,0.5048,0.2390
35.60,0.5054,0.2566,0.5054,0.2566
36.61,0.5000,0.2807,0.5000,0.2807
37.61,0.4974,0.2862,0.4974,0.2862
38.72,0.5278,0.2545,0.5278,0.2545
39.70,0.5789,0.2391,0.5789,0.2391
40.40,0.6371,0.2251,0.6371,0.2251
41.01,0.7064,0.2252,0.7064,0.2252
41.41,0.7902,0.5740,0.7902,0.5740
41.95,0.8331,0.6786,0.8331,0.6786
42.51,0.8710,0.7424,0.8710,0.7424
