elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
18.80,0.0000,0.0000,-0.0073,-0.0004,0.0000,0.0000,-0.0073,-0.0004
22.42,-0.0034,-0.0001,-0.0138,-0.0010,-0.0034,-0.0001,-0.0138,-0.0010
23.51,-0.0184,-0.0011,-0.0206,-0.0021,-0.0184,-0.0011,-0.0206,-0.0021
24.51,-0.0335,-0.0027,-0.0337,-0.0053,-0.0335,-0.0027,-0.0337,-0.0053
25.61,-0.0479,-0.0064,-0.0484,-0.0106,-0.0479,-0.0064,-0.0484,-0.0106
26.72,-0.0654,-0.0162,-0.0619,-0.0179,-0.0654,-0.0162,-0.0619,-0.0179
27.81,-0.0769,-0.0264,0.0192,0.0206,-0.0769,-0.0264,0.0192,0.0206
28.91,-0.0860,-0.0378,0.1145,0.0649,-0.0860,-0.0378,0.1145,0.0649
29.70,0.3722,0.1898,0.2289,0.1178,0.3722,0.1898,0.2289,0.1178
30.01,0.4283,0.2151,0.3451,0.1697,0.4283,0.2151,0.3451,0.1697
30.40,0.5069,0.2484,0.4630,0.2237,0.5069,0.2484,0.4630,0.2237
31.41,0.5038,0.2330,0.4898,0.2354,0.5038,0.2330,0.4898,0.2354
32.50,0.5037,0.2323,0.5050,0.2402,0.5037,0.2323,0.5050,0.2402
33.52,0.5060,0.2485,0.5047,0.2419,0.5060,0.2485,0.5047,0.2419
34.60,0.5048,0.2390,0.5040,0.2514,0.5048,0.2390,0.5040,0.2514
35.60,0.5054,0.2566,0.5027,0.2622,0.5054,0.2566,0.5027,0.2622
36.61,0.5000,0.2807,0.5071,0.2634,0.5000,0.2807,0.5071,0.2634
37.61,0.4974,0.2862,0.5219,0.2634,0.4974,0.2862,0.5219,0.2634
38.72,0.5278,0.2545,0.5482,0.2571,0.5278,0.2545,0.5482,0.2571
39.70,0.5789,0.2391,0.5895,0.2460,0.5789,0.2391,0.5895,0.2460
40.40,0.6371,0.2251,0.6481,0.3036,0.6371,0.2251,0.6481,0.3036
41.01,0.7064,0.2252,0.7091,0.3884,0.7064,0.2252,0.7091,0.3884
41.41,0.7902,0.5740,0.7676,0.4891,0.7902,0.5740,0.7676,0.4891
41.95,0.8331,0.6786,0.8002,0.5551,0.8331,0.6786,0.8002,0.5551
42.51,0.8710,0.7424,0.8314,0.6650,0.8710,0.7424,0.8314,0.6650
