elapsed_s,x_m,y_m
10.75,0.0000,0.0000
23.66,0.0716,-0.1976
24.66,0.0650,-0.3979
25.16,-0.1343,-0.2273
26.47,-0.1277,-0.0191
34.36,-0.3332,0.0412
35.86,-0.5424,0.1136
36.39,-0.3419,0.1908
39.57,-0.1230,0.1211
44.06,-0.1825,-0.0829
45.86,-0.3247,0.0633
46.86,-0.5236,0.0860
47.47,-0.3167,0.0951
50.39,-0.4789,0.2171
51.06,-0.2399,0.1734
53.46,-0.2778,0.3726
77.77,-0.1535,0.1988
85.16,-0.2616,0.3826
86.96,-0.1014,0.2527
87.76,-0.0327,0.0505
90.19,-0.0137,0.2694
94.27,-0.0244,0.0523
99.37,0.1828,0.0426
101.66,-0.0397,-0.0594
104.07,0.1409,-0.1530
105.37,-0.0267,-0.2719
106.66,-0.2257,-0.3096
107.56,-0.3219,-0.1108
108.27,-0.3450,0.0976
113.96,-0.4882,-0.0591
115.57,-0.4075,0.1287
119.65,-0.5262,-0.0546
121.26,-0.4154,0.1365
128.29,-0.5795,0.0149
128.88,-0.3603,0.3047
132.76,-0.5139,0.4421
133.77,-0.6791,0.5568
134.57,-0.4750,0.5575
135.69,-0.2668,0.5078
136.36,-0.1062,0.3849
141.36,-0.2472,0.5348
142.56,-0.3837,0.7021
143.57,-0.2278,0.5352
144.36,-0.0960,0.3672
148.16,-0.0172,0.1820
149.17,-0.0871,0.3712
