elapsed_s,frontier_x_m,frontier_y_m
1.59,-0.8466,-0.7694
1.59,-0.3966,-0.8194
1.59,0.7034,-0.6694
1.59,0.6034,-0.2694
1.59,0.3034,1.0806
1.59,-0.6466,1.2306
1.59,0.4534,0.4806
1.59,0.6534,0.5806
4.20,-0.8466,-0.7694
4.20,-0.3966,-0.8194
4.20,0.7034,-0.6694
4.20,0.6034,-0.2694
4.20,0.3034,1.0806
4.20,-0.6466,1.2306
4.20,0.4534,0.4806
4.20,0.6534,0.5806
6.37,-0.8466,-0.7694
6.37,-0.3966,-0.8194
6.37,0.7034,-0.6694
6.37,0.6034,-0.2694
6.37,0.3034,1.0806
6.37,-0.6466,1.2306
6.37,0.4534,0.4806
6.37,0.6534,0.5806
9.05,-0.8466,-0.7694
9.05,-0.3966,-0.8194
9.05,0.7034,-0.6694
9.05,0.6034,-0.2694
9.05,0.3034,1.0806
9.05,-0.6466,1.2306
9.05,0.4534,0.4806
9.05,0.6534,0.5806
10.43,-0.8466,-0.7694
10.43,-0.3966,-0.8194
10.43,0.7034,-0.6694
10.43,0.6034,-0.2694
10.43,0.3034,1.0806
10.43,-0.6466,1.2306
10.43,0.4534,0.4806
10.43,0.6534,0.5806
13.59,-0.8466,-0.7694
13.59,-0.3966,-0.8194
13.59,0.7034,-0.6694
13.59,0.6034,-0.2694
13.59,0.3034,1.0806
13.59,-0.6466,1.2306
13.59,0.4534,0.4806
13.59,0.6534,0.5806
16.16,-0.8466,-0.7694
16.16,-0.3966,-0.8194
16.16,0.7034,-0.6694
16.16,0.6034,-0.2694
16.16,0.3034,1.0806
16.16,-0.6466,1.2306
16.16,0.4534,0.4806
16.16,0.6534,0.5806
17.26,-0.8466,-0.7694
17.26,-0.3966,-0.8194
17.26,0.7034,-0.6694
17.26,0.6034,-0.2694
17.26,0.3034,1.0806
17.26,-0.6466,1.2306
17.26,0.4534,0.4806
17.26,0.6534,0.5806
19.53,-0.8466,-0.7694
19.53,-0.3966,-0.8194
19.53,0.7034,-0.6694
19.53,0.6034,-0.2694
19.53,0.3034,1.0806
19.53,-0.6466,1.2306
19.53,0.4534,0.4806
19.53,0.6534,0.5806
21.31,-0.8466,-0.7694
21.31,-0.3966,-0.8194
21.31,0.7034,-0.6694
21.31,0.6034,-0.2694
21.31,0.3034,1.0806
21.31,-0.6466,1.2306
21.31,0.4534,0.4806
21.31,0.6534,0.5806
23.34,-0.8466,-0.7694
23.34,-0.3966,-0.8194
23.34,0.7034,-0.6694
23.34,0.6034,-0.2694
23.34,0.3034,1.0806
23.34,-0.6466,1.2306
23.34,0.4534,0.4806
23.34,0.6534,0.5806
26.36,-0.8466,-0.7694
26.36,-0.3966,-0.8194
26.36,0.7034,-0.6694
26.36,0.6034,-0.2694
26.36,0.3034,1.0806
26.36,-0.6466,1.2306
26.36,0.4534,0.4806
26.36,0.6534,0.5806
29.96,-0.6521,-0.9596
29.96,0.4479,-0.7096
29.96,0.5479,-0.2096
29.96,0.9479,-0.2096
29.96,-1.2521,0.1404
29.96,-1.2021,0.3904
29.96,0.2479,1.0904
29.96,0.3479,0.4404
29.96,0.4479,0.4904
29.96,0.6979,0.5904
29.96,1.0979,0.8404
29.96,-0.6021,0.7404
29.96,-0.7021,1.4404
32.72,-0.8559,-0.7845
32.72,-1.0559,-0.6845
32.72,-1.2559,-0.6345
32.72,-0.9559,-0.6345
32.72,-1.1059,-0.5845
32.72,-1.6559,-0.2845
32.72,-1.1559,-0.4845
32.72,-0.9559,-0.4345
32.72,-1.0059,-0.3345
32.72,0.9441,-0.1845
32.72,-1.7059,0.1655
32.72,1.1441,0.8155
32.72,0.4941,0.7155
32.72,0.7441,0.7155
32.72,-0.7059,1.4155
32.72,0.3441,1.3655
32.72,-0.9559,1.3155
36.82,-1.1596,-1.0689
36.82,-0.3596,-1.0689
36.82,0.6404,-0.9189
36.82,-1.7096,-0.5189
36.82,-1.9596,-0.4189
36.82,-1.4096,-0.4689
36.82,-1.8096,-0.3689
36.82,-2.0096,-0.2189
36.82,-1.8596,-0.1189
36.82,-1.5596,-0.1189
36.82,-1.7096,-0.0189
36.82,1.0404,-0.0189
36.82,-1.6596,0.1811
36.82,0.9404,0.1811
36.82,-1.1096,0.3811
36.82,-1.3096,0.4311
36.82,1.1904,0.7811
36.82,0.6904,0.7311
36.82,-0.7096,1.4311
36.82,0.5904,0.9311
36.82,0.5404,1.1311
36.82,0.4404,1.6811
39.01,-1.1596,-1.0689
39.01,-0.5096,-1.1189
39.01,-0.3596,-1.0689
39.01,0.6404,-0.9189
39.01,-1.7096,-0.5189
39.01,-1.9596,-0.4189
39.01,-1.4096,-0.4689
39.01,-1.8096,-0.3689
39.01,-2.0096,-0.2189
39.01,-1.8596,-0.1189
39.01,-1.5596,-0.1189
39.01,-1.7096,-0.0189
39.01,1.3404,-0.0189
39.01,1.4404,0.0311
39.01,-1.6596,0.1811
39.01,1.5404,0.0811
39.01,1.7904,0.1811
39.01,-1.3096,0.4311
39.01,1.5404,0.6311
39.01,-0.7096,1.4311
39.01,1.0904,1.3311
39.01,0.4904,1.7311
39.01,0.6904,1.5811
39.01,0.7904,1.6311
39.01,0.8904,1.6811
43.39,-1.1596,-1.0689
43.39,-0.1596,-1.1189
43.39,-0.5096,-1.1189
43.39,0.6404,-0.9189
43.39,-1.7096,-0.5189
43.39,-1.9596,-0.4189
43.39,-1.4096,-0.4689
43.39,-1.8096,-0.3689
43.39,-2.0096,-0.2189
43.39,-1.8596,-0.1189
43.39,-1.5596,-0.1189
43.39,1.3904,-0.0689
43.39,-1.7096,-0.0189
43.39,-1.6596,0.1811
43.39,-1.3096,0.4311
43.39,-0.7096,1.4311
43.39,1.2404,1.2811
