elapsed_s,x_rel_raw_m,y_rel_raw_m,x_rel_smooth_m,y_rel_smooth_m,x_explored_raw_m,y_explored_raw_m,x_explored_smooth_m,y_explored_smooth_m
19.20,0.0000,0.0000,-0.0071,-0.0004,0.0000,0.0000,-0.0071,-0.0004
22.05,-0.0030,-0.0001,-0.0135,-0.0013,-0.0030,-0.0001,-0.0135,-0.0013
23.10,-0.0182,-0.0011,-0.0202,-0.0028,-0.0182,-0.0011,-0.0202,-0.0028
24.11,-0.0329,-0.0039,-0.0322,-0.0061,-0.0329,-0.0039,-0.0322,-0.0061
25.12,-0.0470,-0.0089,-0.0460,-0.0112,-0.0470,-0.0089,-0.0460,-0.0112
26.15,-0.0601,-0.0162,-0.0587,-0.0183,-0.0601,-0.0162,-0.0587,-0.0183
27.20,-0.0717,-0.0257,-0.0727,-0.0326,-0.0717,-0.0257,-0.0727,-0.0326
28.30,-0.0817,-0.0369,-0.0710,-0.0445,-0.0817,-0.0369,-0.0710,-0.0445
29.40,-0.1029,-0.0753,0.0339,-0.0079,-0.1029,-0.0753,0.0339,-0.0079
29.70,-0.0388,-0.0685,0.1379,0.0176,-0.0388,-0.0685,0.1379,0.0176
30.03,0.4648,0.1669,0.2413,0.0316,0.4648,0.1669,0.2413,0.0316
30.70,0.4482,0.1016,0.3792,0.1002,0.4482,0.1016,0.3792,0.1002
31.41,0.4351,0.0334,0.5145,0.1866,0.4351,0.0334,0.5145,0.1866
31.70,0.5868,0.2676,0.5554,0.2440,0.5868,0.2676,0.5554,0.2440
32.70,0.6376,0.3637,0.5998,0.3128,0.6376,0.3637,0.5998,0.3128
33.20,0.6693,0.4538,0.6511,0.4172,0.6693,0.4538,0.6511,0.4172
34.32,0.6700,0.4455,0.6672,0.4546,0.6700,0.4455,0.6672,0.4546
34.40,0.6920,0.5553,0.6771,0.4848,0.6920,0.5553,0.6771,0.4848
