elapsed_s,area_m2,percent_known,known_cells,total_cells
1.25,4.845,81.95,1938,2365
2.83,4.845,81.95,1938,2365
3.93,4.845,81.95,1938,2365
4.88,4.845,81.95,1938,2365
5.76,4.845,81.95,1938,2365
6.80,4.845,81.95,1938,2365
8.00,4.845,81.95,1938,2365
8.44,4.845,81.95,1938,2365
9.56,4.845,81.95,1938,2365
10.72,4.845,81.95,1938,2365
11.75,4.845,81.95,1938,2365
12.56,4.845,81.95,1938,2365
13.62,4.845,81.95,1938,2365
14.51,4.845,81.95,1938,2365
15.83,4.845,81.95,1938,2365
16.68,4.845,81.95,1938,2365
17.23,4.845,81.95,1938,2365
18.20,4.845,81.95,1938,2365
19.18,4.845,81.95,1938,2365
20.20,4.845,81.95,1938,2365
21.01,4.845,81.95,1938,2365
22.00,4.845,81.95,1938,2365
23.01,4.845,81.95,1938,2365
24.01,4.845,81.95,1938,2365
25.03,4.845,81.95,1938,2365
26.05,4.845,81.95,1938,2365
27.01,4.845,81.95,1938,2365
28.04,4.845,81.95,1938,2365
29.02,4.845,81.95,1938,2365
30.01,4.845,81.95,1938,2365
31.01,5.658,91.84,2263,2464
32.00,5.658,91.84,2263,2464
33.03,5.670,92.05,2268,2464
