elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
18.35,0.0000,0.0000,0.0000,0.0000
21.45,-0.0031,-0.0001,-0.0031,-0.0001
22.48,-0.0184,-0.0012,-0.0184,-0.0012
23.55,-0.0327,-0.0051,-0.0327,-0.0051
24.57,-0.0461,-0.0119,-0.0461,-0.0119
25.70,-0.0583,-0.0204,-0.0583,-0.0204
26.75,-0.0723,-0.0347,-0.0723,-0.0347
27.76,-0.0781,-0.0428,-0.0781,-0.0428
28.79,-0.0830,-0.0515,-0.0830,-0.0515
29.15,0.5047,0.2872,0.5047,0.2872
29.85,0.4866,0.2185,0.4866,0.2185
30.46,0.4785,0.1470,0.4785,0.1470
30.76,0.5779,0.3666,0.5779,0.3666
31.77,0.5964,0.3879,0.5964,0.3879
32.16,0.6361,0.6402,0.6361,0.6402
32.75,0.6340,0.5691,0.6340,0.5691
33.88,0.6365,0.5260,0.6365,0.5260
34.56,0.6286,0.7194,0.6286,0.7194
35.51,0.6311,0.6546,0.6311,0.6546
36.56,0.6267,0.6826,0.6267,0.6826
36.85,0.6289,0.8128,0.6289,0.8128
37.45,0.6555,0.7656,0.6555,0.7656
38.51,0.6609,0.7573,0.6609,0.7573
39.35,0.6962,0.6958,0.6962,0.6958
40.45,0.7013,0.6963,0.7013,0.6963
41.15,0.6714,0.7560,0.6714,0.7560
42.48,0.6715,0.7560,0.6715,0.7560
44.55,0.6705,0.7582,0.6705,0.7582
45.61,0.6620,0.7757,0.6620,0.7757
46.66,0.6619,0.7758,0.6619,0.7758
47.75,0.6551,0.7832,0.6551,0.7832
48.85,0.6431,0.8095,0.6431,0.8095
49.86,0.6472,0.8485,0.6472,0.8485
50.95,0.6343,0.8417,0.6343,0.8417
51.16,0.5516,0.7450,0.5516,0.7450
52.30,0.5735,0.7043,0.5735,0.7043
53.15,0.6384,0.6690,0.6384,0.6690
53.45,0.6180,0.8686,0.6180,0.8686
53.95,0.6122,0.9995,0.6122,0.9995
54.45,0.6466,0.9504,0.6466,0.9504
55.46,0.8923,1.0976,0.8923,1.0976
56.05,0.8739,1.0299,0.8739,1.0299
57.05,0.8221,1.0634,0.8221,1.0634
57.66,0.7717,1.0629,0.7717,1.0629
58.75,0.7221,1.0651,0.7221,1.0651
59.15,0.6446,1.0145,0.6446,1.0145
59.45,0.1937,1.1358,0.1937,1.1358
60.15,0.1017,1.0977,0.1017,1.0977
60.55,-0.4702,1.4814,-0.4702,1.4814
60.75,-0.5224,1.4893,-0.5224,1.4893
62.14,-0.4715,1.5044,-0.4715,1.5044
62.35,-0.5264,1.5127,-0.5264,1.5127
62.45,-0.5795,1.5310,-0.5795,1.5310
62.85,-0.9348,2.1454,-0.9348,2.1454
63.15,-0.9807,2.1852,-0.9807,2.1852
64.16,-1.0076,2.1953,-1.0076,2.1953
64.29,-0.9480,2.1728,-0.9480,2.1728
64.65,-0.9955,2.2184,-0.9955,2.2184
65.25,-1.0345,2.2727,-1.0345,2.2727
65.35,-0.9486,2.2930,-0.9486,2.2930
66.50,-0.9740,2.3574,-0.9740,2.3574
76.75,-0.1527,0.9793,-0.1527,0.9793
