elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
11.59,-0.1419,0.1570,-0.3431,0.3795
12.33,0.0741,-0.6723,0.1069,-0.9705
12.80,-1.2435,0.0641,-1.5431,0.0795
17.59,-1.6767,-0.6686,-1.9556,-0.7791
20.47,-0.4872,-0.5734,-0.7056,-0.7791
26.04,-1.7008,-0.0179,-2.0005,-0.0291
28.81,-0.9476,-1.0082,-1.1505,-1.2291
39.72,-1.5049,0.3975,-1.8005,0.4483
49.87,-1.8511,-0.1434,-2.1505,-0.1624
52.51,-0.8348,-0.7733,-1.1005,-0.9124
60.68,-1.6880,-1.2172,-1.9505,-1.3624
62.18,-1.5184,0.3857,-1.8005,0.4876
71.29,-1.8526,-0.0501,-2.1524,-0.0624
79.92,0.8509,0.5372,1.1476,0.5814
80.48,0.3456,-1.4885,0.3476,-1.7885
82.29,1.0901,-1.0584,1.1976,-1.3385
86.91,-1.7524,0.5020,-2.0524,0.4976
88.52,1.3687,0.1581,1.6476,0.0476
90.67,0.8410,-1.5877,0.8976,-1.8823
99.18,1.2556,0.7578,1.5476,0.8266
99.78,1.0966,-1.0409,1.1976,-1.3234
100.38,-1.8607,-0.0033,-2.1524,-0.0734
103.47,1.6263,0.0387,1.8976,-0.0894
108.48,-1.8024,0.5122,-2.1024,0.5106
112.99,0.9200,-0.1679,1.0476,-0.4394
113.63,1.1049,-1.0541,1.1976,-1.3394
128.84,1.2589,0.7676,1.5476,0.8490
