elapsed_s,x_m,y_m
9.57,0.0000,0.0000
24.36,-0.2110,-0.0253
25.49,-0.4085,-0.0938
26.10,-0.1473,-0.1031
27.76,-0.2937,-0.2541
28.46,0.0244,-0.0711
30.07,-0.1985,-0.2001
31.59,0.0060,-0.1131
32.80,-0.0169,-0.3139
34.26,0.0637,-0.0950
36.87,0.0295,-0.3107
37.77,0.1892,-0.0987
39.18,0.0987,-0.2912
40.66,0.1097,0.0684
42.27,0.1943,-0.1268
43.18,0.2981,-0.3756
44.87,0.1481,-0.2362
45.78,0.1397,-0.0358
47.27,-0.0037,-0.1941
47.90,-0.1341,-0.3581
49.16,0.0064,-0.1985
53.87,0.2839,0.0636
55.06,0.1286,-0.0703
66.46,-0.0027,-0.2298
75.25,-0.1585,-0.3616
76.96,-0.0945,-0.1583
78.76,-0.2294,-0.3075
80.96,-0.0660,-0.1753
