elapsed_s,x_rel_m,y_rel_m
20.19,0.0000,0.0000
26.89,-0.0185,-0.0134
27.39,-0.0832,-0.0156
28.50,-0.1651,-0.0104
28.80,-0.2307,-0.0098
29.69,-0.0487,-0.0115
30.19,0.0055,-0.0094
30.39,0.0831,-0.0162
30.58,0.1619,-0.0255
30.78,0.2256,-0.0363
31.39,0.1682,-0.0654
31.98,0.1130,-0.1016
32.91,0.0128,-0.1610
33.78,0.1708,-0.0112
33.99,0.2996,0.0979
34.59,0.2765,0.0495
35.39,0.2410,-0.0301
35.99,0.2185,-0.0913
37.10,0.1748,-0.1039
37.84,0.2262,0.0173
38.02,0.2837,0.1358
38.99,0.3086,0.0728
39.99,0.3512,0.0104
40.39,0.3917,-0.0290
40.98,0.3638,0.0458
41.19,0.3068,0.1359
42.20,0.2000,0.3004
43.25,0.1766,0.3358
43.78,0.0935,0.4092
43.99,0.0298,0.4647
44.89,0.0689,0.4207
