elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
14.40,0.0000,0.0000,0.0000,0.0000
19.30,-0.0063,-0.0000,-0.0063,-0.0000
20.39,-0.0333,-0.0009,-0.0333,-0.0009
21.49,-0.0483,-0.0021,-0.0483,-0.0021
22.60,-0.0698,-0.0060,-0.0698,-0.0060
23.71,-0.0855,-0.0110,-0.0855,-0.0110
24.80,-0.1001,-0.0173,-0.1001,-0.0173
25.33,-0.1602,-0.0491,-0.1602,-0.0491
25.74,0.4154,0.0376,0.4154,0.0376
26.30,0.3568,0.0030,0.3568,0.0030
27.20,0.3021,-0.0335,0.3021,-0.0335
27.40,0.5033,0.0529,0.5033,0.0529
28.50,0.5362,0.0489,0.5362,0.0489
28.70,0.6857,0.1326,0.6857,0.1326
29.59,0.7885,0.1871,0.7885,0.1871
30.30,0.8899,0.2410,0.8899,0.2410
30.60,0.9662,0.2850,0.9662,0.2850
31.39,0.9451,0.2153,0.9451,0.2153
