elapsed_s,goal_x_m,goal_y_m,frontier_x_m,frontier_y_m
6.63,0.4147,-0.1465,0.6976,-0.2464
7.30,-0.3825,0.5563,-0.5524,0.8036
7.85,-0.3493,-0.5885,-0.5024,-0.8464
11.19,0.3638,0.8459,0.5063,1.1098
11.71,-1.1754,-0.5560,-1.4437,-0.6902
16.08,-0.9083,0.5223,-1.1749,0.6598
19.38,0.7924,-0.1398,1.0751,-0.2402
19.89,-0.9486,-1.0432,-1.1749,-1.2402
24.49,0.4178,0.8153,0.4747,1.1098
25.08,-0.9293,-0.0886,-1.2253,-0.0402
33.65,-0.9487,0.4716,-1.1823,0.6598
34.12,0.5449,-0.7892,0.7677,-0.9902
34.68,0.8812,-0.0292,1.1677,0.0598
35.31,-0.1652,0.7174,-0.2323,1.0098
37.04,-0.7993,-1.0955,-1.0621,-1.2402
42.14,-1.3625,0.2886,-1.6370,0.4098
43.75,0.4318,0.8115,0.4630,1.1098
47.94,0.8319,-0.1949,1.1130,-0.0902
