elapsed_s,x_m,y_m
8.75,0.0000,0.0000
24.73,0.1286,-0.1576
27.06,-0.0349,-0.0201
30.65,-0.2921,-0.0008
32.61,-0.5081,0.2652
32.82,-0.3597,0.4720
33.80,-0.2408,0.6488
34.71,0.0516,0.6747
35.30,0.1916,0.5318
36.00,0.3392,0.3186
37.81,0.2062,0.4935
39.91,0.3474,0.6487
41.53,0.4417,0.2656
42.21,0.4556,0.0355
42.71,0.4539,-0.1797
43.71,0.4221,0.0526
44.51,0.3934,0.2896
52.21,0.3771,0.0823
67.62,0.0821,-0.1516
69.30,0.2484,-0.0321
100.41,0.4154,0.0906
119.59,0.2197,-0.0271
123.41,0.3668,-0.1689
124.50,0.4125,0.0297
126.61,0.2825,-0.1471
129.23,0.1638,-0.3183
130.60,0.2048,-0.1167
132.10,0.0204,-0.2258
134.91,0.1700,-0.0518
135.61,-0.0625,-0.1036
137.70,0.1345,0.0046
138.17,0.3992,-0.0512
138.41,0.1774,0.0546
139.60,0.0121,0.1795
140.46,-0.1800,0.2814
144.26,0.0257,0.2905
145.49,0.2243,0.2197
146.82,0.3369,0.0121
149.04,0.2463,0.1980
149.81,0.0925,0.3376
154.81,0.3257,0.4179
155.61,0.4293,0.2436
156.16,0.4100,0.0393
156.42,0.2778,-0.1477
157.11,0.1100,-0.3013
162.16,0.3270,-0.3151
164.91,-0.0503,-0.3243
167.31,0.0633,-0.5108
170.11,-0.1527,-0.4864
170.81,-0.2301,-0.2596
171.61,-0.2503,-0.0298
176.80,-0.3609,-0.2323
178.90,-0.3676,-0.0276
179.10,-0.2078,0.1528
181.50,-0.4242,0.1314
183.55,-0.3699,0.3388
184.72,-0.1408,0.4057
185.30,0.0757,0.3331
186.11,0.2520,0.1805
