elapsed_s,x_rel_m,y_rel_m
18.88,0.0000,0.0000
24.62,-0.0014,-0.0000
26.06,-0.0154,-0.0013
27.28,-0.0303,-0.0055
28.32,-0.0527,-0.0159
29.41,-0.0693,-0.0270
30.48,-0.0802,-0.0372
31.52,-0.0865,-0.0450
32.38,0.2102,0.0830
32.69,0.4620,0.2003
33.79,0.5014,0.2013
34.88,0.4989,0.1858
35.89,0.4988,0.1848
37.01,0.4800,0.1936
38.01,0.5378,0.1831
38.68,0.6063,0.1744
39.50,0.6739,0.1754
40.02,0.7464,0.1855
40.48,0.7851,0.2736
40.79,0.8182,0.8052
41.28,0.8728,0.8516
41.68,0.7018,0.8282
42.68,0.7552,0.8716
43.28,0.4877,0.7779
44.00,0.5290,0.8268
44.28,0.3429,0.7069
45.28,0.2878,0.6825
45.68,0.2236,0.6252
46.78,0.2249,0.6418
46.99,0.1650,0.5498
47.32,0.0785,0.4111
47.99,0.0714,0.4705
49.04,0.0631,0.5055
49.62,-0.0023,0.3420
49.89,-0.0356,0.3877
50.10,-0.0261,0.1626
50.99,0.0248,-0.0268
51.99,0.0830,-0.2136
