elapsed_s,x_m,y_m
5.22,0.0000,0.0000
23.80,0.2138,0.0039
25.00,0.4031,0.1060
28.50,0.3084,0.2962
29.70,0.1012,0.3413
31.84,0.1547,0.1426
33.00,0.3615,0.0829
33.50,0.0982,0.1404
35.30,-0.0942,0.2080
35.70,-0.1952,0.3981
36.91,-0.3547,0.5386
39.40,-0.1886,0.3929
42.90,-0.3912,0.3375
45.50,-0.1573,0.3304
45.80,0.0794,0.3986
47.20,0.1561,0.2118
49.80,0.0686,0.0099
52.00,-0.1493,0.0072
55.80,0.0682,0.1121
57.00,0.1712,-0.0781
60.80,0.0360,0.0871
62.02,-0.1643,0.1645
63.20,-0.3764,0.1513
63.70,-0.1595,0.2518
65.10,0.0434,0.3665
71.40,-0.1302,0.4699
72.62,-0.3393,0.4973
76.00,-0.4522,0.2511
76.90,-0.5196,0.0496
78.50,-0.2531,0.0523
84.20,-0.4217,-0.3616
85.61,-0.5020,-0.5612
86.50,-0.6329,-0.7124
88.05,-0.8350,-0.7872
92.07,-0.6087,-0.7111
92.71,-0.8896,-0.8802
94.72,-1.1037,-0.8444
97.20,-1.3902,-0.8909
97.30,-1.2494,-0.6777
