elapsed_s,area_m2,percent_known,known_cells,total_cells
2.20,3.985,69.27,1594,2301
5.02,3.985,69.27,1594,2301
7.01,3.985,69.27,1594,2301
9.54,3.985,69.27,1594,2301
12.12,3.985,69.27,1594,2301
14.01,3.985,69.27,1594,2301
16.26,3.985,69.27,1594,2301
18.03,3.985,69.27,1594,2301
19.65,3.985,69.27,1594,2301
21.64,3.985,69.27,1594,2301
23.62,3.985,69.27,1594,2301
25.67,3.985,69.27,1594,2301
27.71,4.620,80.31,1848,2301
29.63,4.828,81.82,1931,2360
31.63,4.843,82.08,1937,2360
33.64,4.845,82.12,1938,2360
36.13,4.970,84.24,1988,2360
38.07,5.023,85.13,2009,2360
39.64,5.023,85.13,2009,2360
41.63,5.023,85.13,2009,2360
43.62,5.023,85.13,2009,2360
45.63,5.023,85.13,2009,2360
47.78,5.075,84.58,2030,2400
49.63,5.110,85.17,2044,2400
51.80,5.113,85.21,2045,2400
53.78,5.143,85.71,2057,2400
55.64,5.150,85.83,2060,2400
57.62,5.243,87.38,2097,2400
59.62,5.430,90.50,2172,2400
61.62,5.438,90.62,2175,2400
63.63,5.443,90.71,2177,2400
65.62,5.443,90.71,2177,2400
67.63,5.443,90.71,2177,2400
69.64,5.443,90.71,2177,2400
71.63,5.443,90.71,2177,2400
73.63,5.443,90.71,2177,2400
75.63,5.443,90.71,2177,2400
77.62,5.443,90.71,2177,2400
79.64,5.443,90.71,2177,2400
81.62,5.443,90.71,2177,2400
83.64,5.443,90.71,2177,2400
85.62,5.443,90.71,2177,2400
87.63,5.443,90.71,2177,2400
89.62,5.443,90.71,2177,2400
91.64,5.443,90.71,2177,2400
93.64,5.443,90.71,2177,2400
96.12,5.450,90.83,2180,2400
97.63,5.455,90.92,2182,2400
99.66,5.458,90.96,2183,2400
101.74,5.465,91.08,2186,2400
