elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
24.74,0.0000,0.0000,0.0000,0.0000
35.25,-0.0615,-0.0026,-0.0615,-0.0026
35.74,-0.1223,-0.0186,-0.1223,-0.0186
36.25,-0.1871,-0.0458,-0.1871,-0.0458
37.28,-0.2193,-0.0636,-0.2193,-0.0636
37.48,-0.5614,-0.0849,-0.5614,-0.0849
38.34,-0.4635,-0.0615,-0.4635,-0.0615
38.66,-0.4114,-0.0533,-0.4114,-0.0533
39.04,-0.1054,0.0122,-0.1054,0.0122
40.04,-0.1197,-0.0020,-0.1197,-0.0020
47.04,-0.1950,-0.0423,-0.1950,-0.0423
47.85,-0.1521,0.0104,-0.1521,0.0104
49.11,-0.1730,-0.0008,-0.1730,-0.0008
50.34,-0.2313,-0.0319,-0.2313,-0.0319
50.54,-0.2876,-0.0616,-0.2876,-0.0616
50.64,-0.3495,-0.0944,-0.3495,-0.0944
51.49,-0.4125,-0.1278,-0.4125,-0.1278
56.04,-0.3534,-0.1045,-0.3534,-0.1045
56.30,-0.2797,-0.0678,-0.2797,-0.0678
57.40,-0.2531,-0.0476,-0.2531,-0.0476
69.04,-0.6839,0.4035,-0.6839,0.4035
70.35,-0.0754,0.5232,-0.0754,0.5232
71.54,-0.0764,0.5228,-0.0764,0.5228
99.34,-0.0827,0.5355,-0.0827,0.5355
100.36,-0.0904,0.5487,-0.0904,0.5487
101.40,-0.0972,0.5564,-0.0972,0.5564
107.44,-0.2437,0.4613,-0.2437,0.4613
107.74,-0.3344,0.2730,-0.3344,0.2730
107.97,-0.3787,0.1762,-0.3787,0.1762
108.54,-0.4110,0.1317,-0.4110,0.1317
109.34,-0.0928,0.2874,-0.0928,0.2874
109.94,-0.1114,0.2362,-0.1114,0.2362
110.65,-0.1530,0.1725,-0.1530,0.1725
111.34,-0.1910,0.1114,-0.1910,0.1114
112.36,-0.2117,0.2102,-0.2117,0.2102
112.68,-0.2650,0.1640,-0.2650,0.1640
113.84,-0.2791,0.1512,-0.2791,0.1512
113.94,-0.2224,0.1947,-0.2224,0.1947
114.04,-0.2667,0.1558,-0.2667,0.1558
115.04,-0.2664,0.1565,-0.2664,0.1565
116.24,-0.2644,0.1596,-0.2644,0.1596
117.38,-0.2560,0.1684,-0.2560,0.1684
118.43,-0.2493,0.1749,-0.2493,0.1749
119.53,-0.2656,0.1542,-0.2656,0.1542
120.54,-0.2503,0.1675,-0.2503,0.1675
126.74,-0.3221,0.1033,-0.3221,0.1033
127.04,-0.1891,0.2191,-0.1891,0.2191
127.42,-0.2332,0.1809,-0.2332,0.1809
127.64,-0.2765,0.1436,-0.2765,0.1436
128.73,-0.2740,0.1457,-0.2740,0.1457
138.54,-0.0361,0.3605,-0.0361,0.3605
