elapsed_s,x_m,y_m
14.60,0.0000,0.0000
66.82,0.2030,-0.0110
68.10,0.4169,-0.0559
69.62,0.1405,-0.0421
73.34,0.1159,-0.2440
74.34,-0.0380,-0.1056
75.22,-0.1864,0.0324
80.75,-0.1271,-0.1723
83.12,-0.2158,0.0070
85.64,-0.1489,-0.1845
88.57,-0.2887,-0.0320
90.94,-0.3112,0.1850
91.92,-0.3267,0.3884
95.04,-0.3451,0.1867
96.12,-0.3869,-0.0172
99.04,-0.3959,0.1994
100.94,-0.5355,0.0353
103.12,-0.3568,0.2817
104.73,-0.2668,0.4627
105.93,-0.3944,0.3017
106.62,-0.5731,0.1737
118.05,-0.6564,0.3568
124.01,-0.3892,0.3510
125.03,-0.5417,0.2212
125.42,-0.7485,0.2399
126.02,-0.6788,0.4583
133.32,-0.4917,0.3795
135.92,-0.6916,0.3353
145.32,-0.4742,0.3781
146.35,-0.1616,0.4414
161.82,-0.4297,0.4003
164.73,-0.2332,0.4413
