elapsed_s,x_rel_m,y_rel_m,x_explored_m,y_explored_m
12.73,0.0000,0.0000,0.0000,0.0000
15.33,-0.0015,-0.0002,-0.0015,-0.0002
16.34,-0.0164,-0.0017,-0.0164,-0.0017
17.42,-0.0314,-0.0030,-0.0314,-0.0030
18.54,-0.0463,-0.0046,-0.0463,-0.0046
19.64,-0.0661,-0.0077,-0.0661,-0.0077
20.73,-0.0807,-0.0109,-0.0807,-0.0109
21.73,-0.0904,-0.0136,-0.0904,-0.0136
22.34,0.0641,-0.0038,0.0641,-0.0038
22.62,0.2738,0.0134,0.2738,0.0134
22.97,0.4475,0.0292,0.4475,0.0292
24.03,0.4128,0.0191,0.4128,0.0191
24.93,0.5254,0.0391,0.5254,0.0391
25.32,0.6794,0.0737,0.6794,0.0737
26.33,0.6555,0.0631,0.6555,0.0631
26.95,0.5917,0.0301,0.5917,0.0301
27.37,0.6658,0.0566,0.6658,0.0566
27.84,0.8527,0.1304,0.8527,0.1304
28.53,0.7943,0.0924,0.7943,0.0924
29.03,0.9223,0.1412,0.9223,0.1412
29.33,0.9873,0.1639,0.9873,0.1639
30.03,1.0528,0.2007,1.0528,0.2007
30.45,1.1598,0.2698,1.1598,0.2698
31.35,1.1104,0.2158,1.1104,0.2158
32.42,1.1411,0.2314,1.1411,0.2314
32.54,1.2860,0.3373,1.2860,0.3373
33.03,1.4006,0.4122,1.4006,0.4122
33.33,1.5488,0.6392,1.5488,0.6392
34.33,1.6598,0.8637,1.6598,0.8637
35.43,1.6600,0.8636,1.6600,0.8636
36.55,1.6310,0.8620,1.6310,0.8620
37.04,1.5760,0.8813,1.5760,0.8813
38.05,1.5562,0.8923,1.5562,0.8923
39.03,1.6454,0.8431,1.6454,0.8431
40.04,1.6487,0.8464,1.6487,0.8464
41.04,1.6449,0.8173,1.6449,0.8173
41.65,1.6711,0.7643,1.6711,0.7643
42.73,1.6671,0.7680,1.6671,0.7680
43.83,1.6759,0.7610,1.6759,0.7610
44.83,1.6742,0.7628,1.6742,0.7628
45.44,1.6492,0.8205,1.6492,0.8205
45.63,1.6542,0.9151,1.6542,0.9151
46.73,1.6713,0.8832,1.6713,0.8832
47.83,1.6833,0.8642,1.6833,0.8642
48.38,1.7209,0.8001,1.7209,0.8001
