elapsed_s,x_m,y_m
5.63,0.0000,0.0000
23.32,-0.2131,-0.1012
26.27,-0.2944,0.0949
27.41,-0.1039,0.1995
27.68,0.1065,0.1455
27.98,0.3221,0.0386
28.27,0.5428,-0.1402
30.12,0.6677,-0.3010
31.67,0.4735,-0.0863
32.07,0.2812,0.1365
33.50,0.2140,-0.0667
33.80,0.2263,0.2685
34.78,0.2962,0.5535
38.33,0.2149,0.3586
40.02,0.2415,0.5600
42.53,0.0475,0.6557
45.92,-0.0477,0.4649
47.42,0.1098,0.6104
47.59,0.2933,0.6907
48.98,0.0521,0.7363
50.07,-0.1419,0.8140
50.67,-0.3594,0.8051
52.27,-0.0857,0.8334
54.57,0.1722,0.9378
60.37,0.3192,0.7807
60.47,0.7052,0.4863
60.68,0.8922,0.1728
108.18,0.9378,-0.0347
108.41,0.9166,-0.2620
108.77,0.8566,-0.6147
109.98,0.7718,-0.4246
111.38,0.6859,-0.2355
112.11,0.6726,0.0125
114.18,0.6463,0.2223
114.28,0.6550,0.4561
127.38,0.7960,0.6002
