metric,value
data_end_x_m,0.4943
data_end_y_m,0.3759
stable_end_x_m,-0.077
stable_end_y_m,-0.1193
jump_flag,1
jump_distance_m,0.7560467776533407
jump_dt_s,0.41999999999999815
note,jump_flag=1 means final saved end may not match physical stop; use stable_end_* for stop comparison
