elapsed_s,area_m2,percent_known,known_cells,total_cells
0.57,4.000,73.87,1600,2166
3.47,4.000,73.87,1600,2166
6.00,4.000,73.87,1600,2166
7.30,4.000,73.87,1600,2166
10.05,4.000,73.87,1600,2166
11.49,4.000,73.87,1600,2166
12.91,4.000,73.87,1600,2166
14.54,4.000,73.87,1600,2166
16.54,4.000,73.87,1600,2166
18.65,4.000,73.87,1600,2166
20.54,4.000,73.87,1600,2166
22.53,4.000,73.87,1600,2166
24.53,4.000,73.87,1600,2166
26.54,4.000,73.87,1600,2166
28.53,4.000,73.87,1600,2166
30.55,4.000,73.87,1600,2166
32.53,4.000,73.87,1600,2166
34.63,4.000,73.87,1600,2166
36.54,4.000,73.87,1600,2166
38.57,4.000,73.87,1600,2166
40.54,4.000,73.87,1600,2166
42.53,4.000,73.87,1600,2166
44.53,4.000,73.87,1600,2166
46.53,4.000,73.87,1600,2166
48.54,4.000,73.87,1600,2166
50.54,4.000,73.87,1600,2166
52.54,4.000,73.87,1600,2166
54.56,4.000,73.87,1600,2166
56.53,4.000,73.87,1600,2166
58.79,4.273,78.90,1709,2166
60.53,4.363,79.17,1745,2204
62.64,4.388,79.63,1755,2204
64.54,4.478,79.88,1791,2242
66.74,4.590,79.79,1836,2301
68.54,4.598,79.92,1839,2301
70.54,4.633,80.53,1853,2301
72.59,4.633,80.53,1853,2301
74.56,4.633,80.53,1853,2301
76.54,4.633,80.53,1853,2301
78.58,4.970,86.40,1988,2301
80.56,5.315,92.39,2126,2301
82.60,5.373,93.39,2149,2301
84.56,5.380,93.52,2152,2301
86.75,5.388,93.65,2155,2301
88.57,5.388,93.65,2155,2301
90.64,5.388,93.65,2155,2301
